stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
AL,Barry,3,1,CS0AAN,1995,NA,NA,NA,NA,5872.7,NA,830873.9,NA,2490,NA,8098684,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,1996,NA,NA,NA,NA,6508.7,NA,955757.3,NA,2260,NA,9314853,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,1997,8247,8237,1069869.25,NA,6640.22,1.344,1013935.556,0.103,2406.321,0.4938,9881963.88,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,1998,7882,7871,1061785.5,NA,6144.592,1.2714,992503.703,0.103,2393.772,0.4996,9673117.536,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,1999,8362,8357.5,1108913.75,NA,6105.438,1.1831,1059756.294,0.103,2903.805,0.5653,10328527.646,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,2000,8562,8555.5,1090857,NA,6053.411,1.1428,1082770.462,0.103,2797.726,0.5332,10552759.085,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,2001,7491,7486.25,927455.5,NA,5694.501,1.2165,951508.416,0.103,2404.039,0.5245,9273491.087,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,2002,6946,6935.5,777940.25,NA,4484.879,1.1221,816397.232,0.103,2221.346,0.571,7956632.624,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,"Low NOx Burner Technology w/ Closed-coupled OFA (Began Nov 08, 2002)",Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,2003,7269,7264,929034.75,NA,4617.676,1.0114,939813.176,0.103,2172.299,0.4875,9159965.635,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
AL,Barry,3,1,CS0AAN,2004,8509,8504.25,1082554,NA,4869.436,0.9097,1088182.238,0.103,2163.799,0.4186,10606046.331,Coal,"Diesel Oil, Pipeline Natural Gas",Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
