stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
AR,Cecil Lynch,167,2,NA,2000,1631,1609.5,42774,NA,0.179,0.001,35395.8,0.0592,151.987,0.4796,595569.425,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2001,1439,1431.75,31915.25,NA,0.127,0.001,25137.475,0.0593,57.591,0.2676,422953.2,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2002,202,198.25,3455.25,NA,0.015,0.001,2899.525,0.0594,6.465,0.2637,48781.825,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2004,28,26.5,219,NA,0.001,0.001,241.55,0.0594,0.569,0.2685,4062.8,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2005,30,26.5,0,NA,0.001,0.001,112.675,0.0596,0.249,0.263,1895.3,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2006,14,14,6,NA,0,0.001,62.8,0.0594,0.323,0.611,1056.3,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2007,500,492.17,8295.08,NA,0.038,0.001,7445.934,0.0593,24.962,0.4119,125299.015,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
AR,Cecil Lynch,167,2,NA,2008,715,708.54,12755.28,NA,0.057,0.001,11239.489,0.0593,33.257,0.3632,189122.869,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,"ARP, CAIROS"
AR,Cecil Lynch,167,2,NA,2009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,"ARP, CAIROS"
