stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
AZ,Cholla,113,1,NA,1995,NA,NA,NA,NA,679,NA,663043,NA,1422,NA,6421012,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,1996,NA,NA,NA,NA,663.4,NA,758564,NA,1660,NA,7390137,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,1997,7609,7587.5,686011.25,NA,704.133,0.1818,768029.275,0.1026,1533.385,0.4016,7487375.775,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,1998,7422,7383,703025.25,NA,707.8,0.1755,789444.05,0.1025,1596.611,0.416,7696273.45,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,1999,8294,8268.5,802789.5,NA,908.996,0.1974,911629.55,0.1028,1853.835,0.4253,8887753.6,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,2000,8508,8486.83,867969.13,NA,859.026,0.1794,967513.194,0.1026,1890.459,0.4023,9431578.522,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,2001,6892,6842.78,724893.18,NA,742.417,0.1831,846698.375,0.1021,1544.903,0.3712,8255931.409,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,2002,8466,8447.99,887617.61,NA,961.461,0.1882,1039269.665,0.1024,1857.402,0.3682,10135095.153,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,2003,8601,8578.84,924475.09,NA,789.016,0.1559,1023234.812,0.1024,1762.154,0.3556,9979442.698,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
AZ,Cholla,113,1,NA,2004,8158,8141.33,872842.91,NA,712.542,0.1554,925585.81,0.1024,1596.299,0.3565,9026754.999,Coal,Natural Gas,Tangentially-fired,Wet Lime FGD,NA,Cyclone|Wet Scrubber,NA,ARP
