stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
CA,Contra Costa Generating Station,228,10,NA,1995,NA,NA,NA,NA,2,NA,313878,NA,433,NA,5969311,Pipeline Natural Gas,NA,Cell burner boiler,NA,NA,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,1996,NA,NA,NA,NA,1.9,NA,377671,NA,452,NA,6354986,Pipeline Natural Gas,NA,Cell burner boiler,NA,NA,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,1997,4407,4383,695414.75,NA,2.053,0.001,406708.775,0.059,190.621,0.0633,6843607.025,Pipeline Natural Gas,NA,Cell burner boiler,NA,Low NOx Burner Technology (Dry Bottom only),NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,1998,6309,6302.25,1213081,NA,3.481,0.001,689578.15,0.059,305.51,0.0529,11603467.95,Pipeline Natural Gas,NA,Cell burner boiler,NA,Low NOx Burner Technology (Dry Bottom only),NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,1999,6805,6797.75,1176129,NA,3.391,0.001,671813.9,0.059,307.091,0.053900000000000003,11304471.45,Pipeline Natural Gas,NA,Cell burner boiler,NA,Low NOx Burner Technology (Dry Bottom only),NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2000,7510,7499,1492875.75,NA,4.364,0.001,864467.35,0.059,476.494,0.0633,14546351.525,Pipeline Natural Gas,NA,Cell burner boiler,NA,Low NOx Burner Technology (Dry Bottom only),NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2001,5672,5653.75,1530960.75,NA,4.317,0.001,855120.85,0.059,603.697,0.0842,14389016,Pipeline Natural Gas,NA,Cell burner boiler,NA,"Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction (Began Jun 22, 2001)",NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2002,7502,7488.5,1148684.75,NA,3.369,0.001,667463.9,0.059,51.852,0.0087,11231341.75,Pipeline Natural Gas,NA,Cell burner boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2003,4619,4605,510893,NA,1.577,0.001,312370.425,0.059,29.608,0.0112,5256232.5,Pipeline Natural Gas,NA,"Cell burner boiler (Ended Apr 29, 2003), Dry bottom wall-fired boiler (Started Apr 29, 2003)",NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2004,6062,6051.75,672772.75,NA,2.064,0.001,408826.225,0.059,27.974,0.0074,6879314.875,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2005,2796,2779.5,307714.75,NA,0.944,0.001,186958.775,0.059,13.535,0.0094,3145947,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2006,1343,1326.25,120540.25,NA,0.387,0.001,76593.7,0.0591,5.408,0.0098,1288839.15,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
CA,Contra Costa Generating Station,228,10,NA,2007,922,913.25,101893.75,NA,0.315,0.001,62497.825,0.0591,4.355,0.0101,1051628.3,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,NA,NA,ARP
