stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
CO,Arapahoe,465,1,CS1,1995,NA,NA,NA,NA,817.7,NA,237499.1,NA,1201,NA,2274890,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,1996,NA,NA,NA,NA,877.8,NA,267005.7,NA,1195,NA,2604464,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,1997,8551,8543.5,294084.75,NA,1050.848,0.6319,383020.034,0.1022,1354.43,0.6947,3853356.81,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,1998,7733,7710.25,242141.75,NA,684.79,0.4729,289461.514,0.1029,919.009,0.5951,2870740.624,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,1999,7613,7596.25,239892.5,NA,723.997,0.4649,306703.851,0.1029,945.268,0.6023,2989334.186,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,2000,8079,8067.84,280089.28,NA,864.291,0.4772,369355.397,0.103,1276.514,0.7049,3599450.44,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,2001,8569,8564.68,314108.99,NA,1088.974,0.56,390455.365,0.1027,1474.263,0.7685,3816090.585,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,1,CS1,2002,7836,7830.4,260972.81,NA,1060.559,0.5146,414797.194,0.1029,1412.752,0.7024,4045062.419,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,1995,NA,NA,NA,NA,782.3,NA,227206.9,NA,1162,NA,2177067,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,1996,NA,NA,NA,NA,850,NA,258542.3,NA,1187,NA,2522349,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,1997,4469,4425.75,117928.5,NA,389.147,0.5144,151899.141,0.1024,572.463,0.7145,1585505.09,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,1998,2942,2857.75,75722.75,NA,156.272,0.3733,84113.287,0.1029,301.454,0.6178,869350.551,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,1999,6080,6044.75,173503.5,NA,512.824,0.4543,222687.824,0.103,699.63,0.6333,2170453.989,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,"Baghouse (Began Feb 01, 1999)|Electrostatic Precipitator",NA,ARP
CO,Arapahoe,465,2,CS1,2000,5889,5847.16,196587.5,NA,558.708,0.4456,252155.249,0.103,927.297,0.7373,2457720.515,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Baghouse|Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,2001,6293,6203.58,215028.81,NA,700.085,0.5455,259892.82,0.1023,1005.221,0.782,2557788.373,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Baghouse|Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,2,CS1,2002,6044,6026.21,196739.89,NA,758.217,0.4984,312749.617,0.1029,1095.462,0.7146,3049152.986,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Baghouse|Electrostatic Precipitator,NA,ARP
CO,Arapahoe,465,3,NA,1995,NA,NA,NA,NA,790,NA,230078,NA,1175,NA,2242376,Coal,Natural Gas,Dry bottom vertically-fired boiler,NA,NA,Baghouse,NA,ARP
