stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
CT,Branford,540,10,NA,1999,169,169,1239,417,NA,NA,NA,NA,9.863,0.7422,26657.6,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Branford,540,10,NA,2000,10,10,NA,47,NA,NA,NA,NA,0.261,0.7403,705,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Branford,540,10,NA,2001,34,34,NA,396,NA,NA,NA,NA,2.239,0.72,6056.3,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Branford,540,10,NA,2002,22,22,440,NA,0,0,0,0,3.3,1.2,5500,"Diesel Oil, Other Oil",NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Branford,540,10,NA,2003,11,11,220,NA,0,0,0,0,1.65,1.2,2750,"Diesel Oil, Other Oil",NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Branford,540,10,NA,2004,8,8,160,NA,0,0,0,0,1.2,1.2,2000,"Diesel Oil, Other Oil",NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Branford,540,10,NA,2005,15,15,2820,NA,0,0,0,0,2.25,1.2,3750,"Diesel Oil, Other Oil",NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Branford,540,10,NA,2006,11,11,220,NA,0,0,0,0,1.65,1.2,2750,"Diesel Oil, Other Oil",NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Branford,540,10,NA,2007,20,14.21,218.75,NA,0,0,0,0,2.132,1.2,3552.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Branford,540,10,NA,2008,11,7.11,122.6,NA,0,0,0,0,1.067,1.2,1777.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,"CAIROS, NBP"
CT,Branford,540,10,NA,2009,9,2.1,19.55,NA,NA,NA,NA,NA,0.315,1.2,525,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2010,39,39,512,NA,NA,NA,NA,NA,5.85,1.2,9750,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2011,10,7.7,104.7,NA,NA,NA,NA,NA,1.155,1.2,1925,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2012,15,9.18,140.71,NA,NA,NA,NA,NA,1.377,1.2,2295,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2013,8,6.26,95.4,NA,NA,NA,NA,NA,0.939,1.2,1565,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2014,6,2.87,37.4,NA,NA,NA,NA,NA,0.431,1.2,717.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
CT,Branford,540,10,NA,2015,19,7.91,97.29,NA,NA,NA,NA,NA,1.187,1.2,1977.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2016,33,20.91,316.73,NA,NA,NA,NA,NA,3.137,1.2,5227.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2017,25,19.72,333.01,NA,NA,NA,NA,NA,2.958,1.2,4930,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2018,27,16.73,253.22,NA,NA,NA,NA,NA,2.51,1.2,4182.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2019,14,5.82,58.45,NA,NA,NA,NA,NA,0.873,1.2,1455,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2020,17,10.3,80.33,NA,NA,NA,NA,NA,1.545,1.2,2575,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2021,14,9.48,127.38,NA,NA,NA,NA,NA,1.337,1.1244,2370,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2022,19,11.31,73.6,NA,NA,NA,NA,NA,0.949,0.6709,2827.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2023,5,2.78,36.62,NA,NA,NA,NA,NA,0.233,0.671,695,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Branford,540,10,NA,2024,9,4.25,45.01,NA,NA,NA,NA,NA,0.356,0.6706,1062.5,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,SIPNOX
CT,Cos Cob,542,10,NA,1999,146,146,1016,680,NA,NA,NA,NA,9.032,0.6851,26366.4,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Cos Cob,542,10,NA,2000,9,9,NA,59,NA,NA,NA,NA,0.326,0.685,952.7,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Cos Cob,542,10,NA,2001,46,46,NA,686,NA,NA,NA,NA,3.129,0.6637,9446.1,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Cos Cob,542,10,NA,2002,45,45,900,NA,0,0,0,0,6.75,1.2,11250,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
CT,Cos Cob,542,10,NA,2003,27,27,540,NA,0,0,0,0,4.05,1.2,6750,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Cos Cob,542,10,NA,2004,8,8,160,NA,0,0,0,0,1.2,1.2,2000,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Cos Cob,542,10,NA,2005,46,46,920,NA,0,0,0,0,6.9,1.2,11500,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Cos Cob,542,10,NA,2006,50,50,1000,NA,0,0,0,0,7.5,1.2,12500,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Cos Cob,542,10,NA,2007,43,30.9,530.35,NA,0,0,0,0,4.635,1.2,7725,Other Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
CT,Cos Cob,542,10,NA,2008,22,10.96,183.43,NA,0,0,0,0,1.644,1.2,2740,Other Oil,NA,Combustion turbine,NA,"Water Injection (Began Jul 01, 2008)",NA,NA,"CAIROS, NBP"
CT,Cos Cob,542,10,NA,2009,19,7.87,139.23,NA,NA,NA,NA,NA,1.181,1.2,1967.5,Other Oil,NA,Combustion turbine,NA,Water Injection,NA,NA,CAIROS
CT,Cos Cob,542,10,NA,2010,53,44.15,676.65,NA,NA,NA,NA,NA,6.623,1.2,11037.5,Other Oil,NA,Combustion turbine,NA,Water Injection,NA,NA,CAIROS
CT,Cos Cob,542,10,NA,2011,7,3.35,50.7,NA,NA,NA,NA,NA,0.503,1.2,837.5,Other Oil,NA,Combustion turbine,NA,Water Injection,NA,NA,CAIROS
