stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
FL,Seminole (136),136,1,NA,1995,NA,NA,NA,NA,18486,NA,6413986,NA,11058,NA,48323888,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,1996,NA,NA,NA,NA,18207.7,NA,5330454,NA,11822,NA,51247513,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,1997,8201,8197.5,4922505.5,NA,20650.743,0.7801,5368099.1,0.103,11218.999,0.422,52320645.35,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,1998,8402,8399.75,5057704.75,NA,22834.26,0.7794,5963497.05,0.103,13603.743,0.4618,58115782.725,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,1999,7937,7933,4764231,NA,18485.364,0.7147,4883276.6,0.1028,11715.658,0.4515,50903347.3,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,2000,8090,8084.25,4894020.75,NA,14831.799,0.591,5085219.975,0.103,11348.304,0.4494,49563533.75,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,2001,7797,7791.75,4596982.5,NA,12957.953,0.5104,5096032.25,0.103,11775.832,0.4595,49668947.15,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,2002,7591,7586.25,4565201.5,NA,11095.217,0.4493,4984894.675,0.103,10992.462,0.4443,48585738.5,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,2003,8100,8094.5,4981599,NA,13547.363,0.5813,4692247.075,0.103,11122.503,0.4778,45733411.85,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
FL,Seminole (136),136,1,NA,2004,8259,8250.5,5133363.75,NA,14279.658,0.6233,4648502.1,0.103,10966.296,0.4757,45307042.075,Coal,Diesel Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
