stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
GA,Arkwright,699,1,CS001,1995,2039,2035,NA,NA,794.6,NA,61114,NA,278,NA,595604,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,1996,2540,2530,NA,NA,1070.5,NA,83587.4,NA,341,NA,816768,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,1997,1928,1918,47912.25,NA,606.015,2.0866,59001.159,0.103,216.382,0.7539,575065.403,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,1998,3419,3411,105483,NA,1010.068,1.8262,111225.268,0.103,367.85,0.6633,1086788.698,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,1999,3096,3090,92372.5,NA,776.835,1.6397,98150.488,0.103,326.705,0.6854,956630.647,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,2000,2311,2296,69722.5,NA,643.882,1.7397,77711.974,0.103,247.733,0.6582,757427.007,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,2001,247,244.25,6677.5,NA,60.242,1.8763,7014.278,0.103,21.013,0.6325,68366.125,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,CS001,2002,619,616.75,16993.25,NA,74.649,1.0753,14670.11,0.103,39.184,0.5497,142982.252,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,1,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,NA
GA,Arkwright,699,2,CS001,1995,1971,1960.5,NA,NA,667,NA,51300.9,NA,232,NA,497909,NA,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,1996,2590,2576,NA,NA,990.9,NA,77372.7,NA,313,NA,765865,NA,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,1997,3044,3040.25,71186,NA,987.034,2.1948,91051.042,0.103,338.341,0.7599,887433.986,NA,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,1998,3272,3266,97054.25,NA,998.933,1.932,105214.269,0.103,359.397,0.6898,1025944.931,NA,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,1999,3751,3748.25,103134.75,NA,915.988,1.6729,112148.829,0.103,385.944,0.7041,1093067.515,NA,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,2000,2410,2400.75,68158.75,NA,636.798,1.755,75587.084,0.103,241.204,0.6629,736718.584,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,2001,322,319.25,7996.25,NA,74.874,1.8971,8356.546,0.103,26.511,0.6634,81448.544,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,CS001,2002,618,616.5,15149,NA,66.003,1.0868,12935.546,0.103,34.754,0.5498,126077.19,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,2,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,NA
GA,Arkwright,699,3,CS001,1995,2163,2158.25,NA,NA,970.9,NA,74675.8,NA,348,NA,736880,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
GA,Arkwright,699,3,CS001,1996,2799,2784.5,NA,NA,1208.4,NA,94356,NA,389,NA,922356,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
