stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
IA,Dubuque,1046,1,NA,1995,NA,NA,NA,NA,4145,NA,175783,NA,529,NA,1713283,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,1996,NA,NA,NA,NA,4534.5,NA,204418,NA,688,NA,1992354,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,1997,4599,4589.5,96357,NA,3150.117,4.3465,147691.9,0.1028,514.714,0.7082,1439492.35,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,1998,7228,7220.25,175414.5,NA,6547.949,4.6477,285434.7,0.1028,1052.026,0.7306,2782017.3,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,1999,8139,8134.25,213557.75,NA,4739.511,2.825,329183.025,0.1023,1284.417,0.7446,3367987.275,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,2000,7501,7496,203253,NA,2189.403,1.5399,288909.075,0.1029,963.547,0.6818,2815869.275,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,2001,8215,8209.5,213564,NA,1665.806,1.0994,303606.3,0.1028,1012.189,0.6805,2959149.75,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,2002,8026,8014.25,190406.25,NA,1081.787,0.8484,259807.975,0.1028,878.064,0.676,2532223.475,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,2003,7933,7923.5,180464,NA,942.04,0.763,250548.7,0.1028,794.598,0.6365,2441997.1,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IA,Dubuque,1046,1,NA,2004,8123,8115.75,178218.25,NA,950.321,0.7589,255562.85,0.1028,828.266,0.6508,2490867.225,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
