stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
ID,Rathdrum Combustion Turbine Project,7456,1,NA,1995,NA,NA,NA,NA,1,NA,134222,NA,23,NA,2258544,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,1996,NA,NA,NA,NA,0.5,NA,92978,NA,21,NA,1569599,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,1997,592,564.5,43322.25,NA,0.132,0.001,26217.375,0.059,7.582,0.0402,441156.175,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,1998,2728,2608,198822.25,NA,0.61,0.001,120912.3,0.059,32.887,0.0373,2034521.225,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,1999,1526,1485,112637,NA,0.345,0.001,68396.425,0.059,20.466,0.0389,1150912.05,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2000,5242,5147.5,369375,NA,1.129,0.001,223613.15,0.0577,56.515,0.0284,3829800.075,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2001,6174,6090.5,462104.25,NA,1.581,0.001,313205.875,0.059,63.316,0.0249,5270134.275,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2002,362,326.25,23809,NA,0.074,0.001,14665.825,0.059,3.991,0.041,246792.825,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2003,188,168.25,11126.25,NA,0.035,0.001,6942.7,0.0591,2.605,0.0564,116824.975,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2004,60,55.25,4670.75,NA,0.014,0.001,2756.525,0.059,1.356,0.0646,46382.975,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
ID,Rathdrum Combustion Turbine Project,7456,1,NA,2005,57,49.5,3667.75,NA,0.011,0.001,2230.65,0.0591,1.017,0.0685,37534.55,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
