stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
IL,Joliet 29,384,71,CS7172,1995,NA,NA,NA,NA,3005.7,NA,1227998.2,NA,2204,NA,11966988,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,1996,NA,NA,NA,NA,3661.5,NA,1288590.9,NA,2426,NA,12539992,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,1997,6334,6320.75,930529,NA,3385.235,0.7143,955017.613,0.103,1819.614,0.3951,9308105.243,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,1998,8245,8242,1197611,NA,4636.905,0.6976,1342068.063,0.103,2629.356,0.4124,13069275.506,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,1999,8063,8055.5,1050826.25,NA,3938.54,0.642,1237781.327,0.103,2330.196,0.4035,12064150.254,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,2000,6302,6293.5,1172891.25,NA,4295.079,0.6505,1335142.562,0.103,1063.631,0.1818,13013064.485,Coal,NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Closed-coupled/Separated OFA (Began Jan 22, 2000)",Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,2001,7678,7658.75,1402027.75,NA,4598.468,0.6111,1507579.541,0.103,892.406,0.1225,14693754.189,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,2002,8033,8019.25,1355601.75,NA,5275.789,0.6877,1542509.634,0.103,871.189,0.1183,15034238.236,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,71,CS7172,2003,8152,8146.75,1664291,NA,6296.15,0.6422,1975469.228,0.103,1109.144,0.1203,19254062.03,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, NBP"
IL,Joliet 29,384,71,CS7172,2004,7855,7847.75,1569675.5,NA,4124.711,0.4843,1734484.865,0.103,958.43,0.1183,16905303.025,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, NBP"
IL,Joliet 29,384,71,CS7172,2005,6622,6615.25,1388240.25,NA,3838.601,0.4928,1584658.212,0.103,909.355,0.1197,15444981.563,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, NBP"
IL,Joliet 29,384,71,CS7172,2006,7427,7415.5,1402317.25,NA,3696.707,0.4487,1661616.784,0.103,937.812,0.1172,16195105.722,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, NBP"
IL,Joliet 29,384,71,CS7172,2007,7510,7499.25,1542076.75,NA,4249.237,0.5208,1670204.582,0.103,864.873,0.1075,16278791.23,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, NBP"
IL,Joliet 29,384,71,CS7172,2008,6607,6601,1363151.25,NA,3106.367,0.4766,1365755.368,0.106,716.158,0.1139,12854437.824,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, NBP"
IL,Joliet 29,384,71,CS7172,2009,7558,7546.75,1594508.75,NA,3494.498,0.4733,1661519.352,0.1066,994.668,0.1296,15579833.475,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,"Halogenated PAC Sorbent Injection (Began Jul 01, 2009)","ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2010,7946,7939,1728797,NA,3608.848,0.4426,1719342.909,0.106,947.51,0.1171,16147717.175,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2011,6780,6764.5,1393919.25,NA,2695.099,0.4132,1392441.702,0.1049,835.141,0.1261,13211897.4,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2012,7303,7291.75,1341955,NA,2656.853,0.3853,1432523.921,0.106,605.958,0.0915,13504567.225,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2013,7795,7780.75,1487739,NA,3075.717,0.3996,1611210.71,0.106,713.058,0.0989,15164631.75,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2014,6932,6913.25,1375699.75,NA,2580.196,0.3708,1444412.737,0.105,687.737,0.1041,13697626.275,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IL,Joliet 29,384,71,CS7172,2015,6729,6718,1426328.25,NA,2764.47,0.3751,1539970.904,0.1059,650.182,0.0915,14489610.7,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Non-catalytic Reduction,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
IL,Joliet 29,384,71,CS7172,2016,3351,3321.5,561869.5,NA,793.658,0.3005,482294.92,0.0813,241.735,0.0818,5605430.85,"Coal, Pipeline Natural Gas",NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Closed-coupled/Separated OFA|Selective Non-catalytic Reduction (Retired Mar 01, 2016)",Electrostatic Precipitator,"Halogenated PAC Sorbent Injection (Retired Mar 01, 2016)","ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
IL,Joliet 29,384,71,CS7172,2017,735,725,108229.25,NA,3.207,0.0716,64069.899,0.0588,35.472,0.0631,1080795.675,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2018,1240,1223.25,161844.75,NA,5.308,0.0346,100717.032,0.0589,57.762,0.0668,1699018.175,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2019,2275,2259,394406,NA,2.333,0.0144,233609.291,0.0589,155.848,0.0747,3940812.475,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2020,1899,1887.75,329899.75,NA,1.018,0.001,201102.754,0.059,148.626,0.0814,3392424.8,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2021,1463,1447,212148.5,NA,0.639,0.001,126201.653,0.0584,92.447,0.0779,2128932.825,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2022,1092,1075.89,160535.03,NA,0.491,0.001,96945.617,0.0589,67.911,0.0741,1635388.414,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,71,CS7172,2023,1234,1223.51,198584.66,NA,0.599,0.001,118333.556,0.0589,94.379,0.0827,1996178.152,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,72,CS7172,1995,NA,NA,NA,NA,4021.3,NA,1642962.8,NA,3073,NA,16013079,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,1996,NA,NA,NA,NA,5444.8,NA,1916215.1,NA,3647,NA,18656145,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,1997,6334,6320.75,1394770,NA,5009.182,0.7054,1419631.934,0.103,2753.335,0.3951,13836481.882,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,1998,8245,8242,1911547.5,NA,7400.826,0.6962,2145434.31,0.103,4277.647,0.4124,20892598.421,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,1999,8063,8055.5,1842084,NA,6891.459,0.6323,2182364.777,0.103,4300.55,0.4036,21270630.82,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,2000,6302,6293.5,1210807,NA,4373.605,0.6504,1371416.413,0.103,1138.491,0.1818,13366621.24,Coal,NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Closed-coupled/Separated OFA (Began Jan 22, 2000)",Electrostatic Precipitator,NA,ARP
IL,Joliet 29,384,72,CS7172,2001,7624,7607,1392612.5,NA,4551.076,0.6117,1494862.234,0.103,881.463,0.123,14569801.986,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,NA,ARP
