stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
IN,State Line Generating Station (IN),981,3,NA,1995,NA,NA,NA,NA,2148,NA,776109,NA,1311,NA,7909053,Coal,NA,Tangentially-fired,NA,NA,NA,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,1996,NA,NA,NA,NA,2855.6,NA,1116613,NA,1388,NA,10881556,Coal,NA,Tangentially-fired,NA,NA,NA,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,1997,7082,7065.25,1112160.5,NA,3342.507,0.566,1148099.175,0.103,1293.847,0.2411,11190020.925,Coal,NA,Tangentially-fired,NA,NA,NA,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,1998,226,225.25,28635.25,NA,85.408,0.4603,29863.625,0.1029,32.064,0.2062,291068.05,Coal,NA,Tangentially-fired,NA,NA,NA,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,1999,6859,6840.75,983020.25,NA,3169.007,0.5607,1114472.05,0.103,1510.198,0.2819,10862255.3,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,2000,7125,7100.5,1274173.75,NA,3894.842,0.5723,1327115.95,0.1152,1344.964,0.21,12884350.875,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,2001,7241,7228.5,1245355,NA,3804.057,0.5776,1302256.4,0.103,1240.351,0.198,12692542.85,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,2002,7317,7298.5,1252800.75,NA,3779.237,0.565,1314675.525,0.103,1411.837,0.2212,12813554.35,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,ARP
IN,State Line Generating Station (IN),981,3,NA,2003,7296,7283.75,1220075.25,NA,3435.09,0.5397,1249160.175,0.103,1371.645,0.2246,12175069.525,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, NBP"
IN,State Line Generating Station (IN),981,3,NA,2004,7059,7044.25,1193182,NA,3875.596,0.6231,1218343.85,0.103,1135.903,0.1903,11874689.7,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, NBP"
IN,State Line Generating Station (IN),981,3,NA,2005,7400,7385.5,1244789.25,NA,3572.394,0.5657,1247510.525,0.103,1188.918,0.1936,12158996.2,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, NBP"
IN,State Line Generating Station (IN),981,3,NA,2006,7211,7189.25,1148466.5,NA,3307.661,0.5266,1234085.675,0.103,1302.749,0.218,12028101.125,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, NBP"
IN,State Line Generating Station (IN),981,3,NA,2007,6749,6730.5,1193739.25,NA,3743.384,0.5748,1287228.525,0.103,1380.992,0.2214,12546067.4,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, NBP"
IN,State Line Generating Station (IN),981,3,NA,2008,7671,7651.88,1475498.6,NA,4747.932,0.6173,1561901.896,0.1048,1835.567,0.2463,14919595.893,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, CAIRNOX, CAIROS, NBP"
IN,State Line Generating Station (IN),981,3,NA,2009,6675,6643.96,1195277.11,NA,4310.547,0.7298,1187521.985,0.105,1377.044,0.2341,11322673.338,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IN,State Line Generating Station (IN),981,3,NA,2010,7715,7697.77,1441849.21,NA,4442.101,0.6544,1386324.198,0.105,1856.898,0.2735,13218167.723,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IN,State Line Generating Station (IN),981,3,NA,2011,7546,7523.79,1376361.9,NA,4029.421,0.6018,1359679.786,0.105,1707.874,0.2517,12964102.209,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IN,State Line Generating Station (IN),981,3,NA,2012,1868,1863.24,246725.12,NA,910.945,0.7326,252853.76,0.105,324.535,0.2644,2410881.522,Coal,NA,Tangentially-fired,NA,NA,Baghouse,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
IN,State Line Generating Station (IN),981,4,NA,1995,NA,NA,NA,NA,4038,NA,1156773,NA,5531,NA,14225316,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IN,State Line Generating Station (IN),981,4,NA,1996,NA,NA,NA,NA,2395.8,NA,1101712,NA,4334,NA,10730572,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IN,State Line Generating Station (IN),981,4,NA,1997,6399,6381.75,1433737.75,NA,3892.238,0.4914,1554520.15,0.103,6137.063,0.7692,15151041.575,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IN,State Line Generating Station (IN),981,4,NA,1998,1636,1624.25,338316.25,NA,998.975,0.579,348759.45,0.1035,1525.816,0.7915,3359142.275,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
IN,State Line Generating Station (IN),981,4,NA,1999,7305,7297,1366974.25,NA,3915.948,0.51,1522395.125,0.103,6604.861,0.847,14834346.1,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
