stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
KS,Holcomb,108,SGU1,NA,1995,NA,NA,NA,NA,2103,NA,2476631,NA,3052,NA,24085282,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,1996,NA,NA,NA,NA,2116.4,NA,2670929,NA,3796,NA,26070464,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,1997,6832,6819.5,1999744.5,NA,1776.396,0.1724,2168499.075,0.1023,3067.107,0.2804,21176630.65,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,1998,8660,8655.25,2819026.5,NA,2203.432,0.1503,3008112.175,0.1026,4279.456,0.2857,29354640.875,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,1999,8445,8439,2699448.75,NA,2430.751,0.1658,3046386.875,0.1025,4193.961,0.2767,29741705.4,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2000,8028,8013.7,2653095.61,NA,2094.323,0.1581,2727366.07,0.1025,3714.886,0.2748,26614048.837,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2001,8451,8440.06,2748659.24,NA,2122.721,0.1602,2733982.642,0.1025,3873.592,0.2858,26676150.965,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2002,8299,8291.02,2632783.29,NA,1669.382,0.1274,2728827.351,0.1026,3849.033,0.2837,26626278.836,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2003,8206,8189.03,2750024.08,NA,2228.075,0.1695,2777927.773,0.1025,4035.952,0.2944,27108617.805,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2004,8267,8254.33,2797754.22,NA,2131.29,0.1612,2760615.079,0.1024,4384.193,0.3218,26938477.682,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2005,8217,8207.04,2884705.41,NA,1772.239,0.1319,2801875.209,0.1026,4532.549,0.3301,27332412.16,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2006,7558,7514.71,2570007.66,NA,1153.897,0.0947,2534424.062,0.102,3925.731,0.3134,24744297.554,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2007,8594,8584.77,3073697.7,NA,1075.556,0.0729,3081538.144,0.1026,4703.676,0.3114,30066293.905,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2008,8295,8277.87,2996941,NA,1955.797,0.1341,3082505.449,0.104,4542.216,0.3051,29583133.796,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2009,8196,8179.15,2861304.43,NA,1948.292,0.1436,2892501.191,0.1049,4355.391,0.3097,27579163.502,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2010,8265,8255.1,2836575.8,NA,1710.771,0.1238,2909436.822,0.105,4234.453,0.3007,27740633.994,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2011,8611,8597.47,2950019.08,NA,1679.479,0.1192,2985351.496,0.105,4574.35,0.3165,28464479.395,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2012,6943,6930.38,2141507.66,NA,1053.367,0.1065,2154747.243,0.105,1756.669,0.1658,20544889.739,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2013,8080,8070.13,2353783.26,NA,1386.108,0.1248,2343950.658,0.1049,1702.979,0.1495,22348925.065,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2014,8515,8509.36,2165220.81,NA,1544.635,0.1428,2233477.438,0.105,1722.129,0.1592,21295583.942,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,ARP
KS,Holcomb,108,SGU1,NA,2015,6082,6072.04,1582138.26,NA,1225.117,0.1496,1679809.732,0.105,1441.626,0.1735,16016493.236,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2016,7816,7803.32,1755635.05,NA,1244.077,0.1406,1887389.814,0.105,1669.011,0.1818,17995708.423,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2017,5186,5166.77,1120094.63,NA,883.938,0.1536,1190563.088,0.1049,1064.47,0.1809,11351678.742,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2018,6572,6563.15,1619178.76,NA,1004.029,0.1219,1733126.379,0.105,1577.135,0.1856,16524914.21,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2019,7251,7245.44,1721295.07,NA,1224.341,0.1408,1829508.549,0.105,1610.783,0.1825,17443829.299,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2020,6292,6277.48,1590757,NA,1054.207,0.1385,1599375.823,0.105,1424.809,0.1837,15249576.28,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2021,7208,7196.26,1754182.74,NA,1176.131,0.1418,1772208.862,0.105,1569.527,0.1792,16897500.34,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2022,7165,7153.31,1823357.32,NA,1254.004,0.1466,1824554.357,0.105,1701.233,0.188,17396628.966,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2023,8104,8095.77,1747062.29,NA,1166.489,0.1422,1773082.229,0.105,1629.74,0.1817,16905792.226,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Holcomb,108,SGU1,NA,2024,6512,6506.3,1292758.9,NA,693.067,0.1102,1318568.49,0.105,1154.619,0.1757,12572199.715,Coal,NA,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,NA,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
KS,Cimarron River,1230,1,NA,1995,NA,NA,NA,NA,0,NA,6655,NA,16,NA,111986,NA,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,NA
