stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
KY,Smith Generating Facility,54,SCT1,NA,2000,548,487,42509.25,NA,0.243,0.0015,32950.8,0.0591,23.775,0.0865,553856.75,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,ARP
KY,Smith Generating Facility,54,SCT1,NA,2001,517,464.5,30485.75,NA,0.178,0.0016,26007.65,0.0592,19.006,0.088,437251.925,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,ARP
KY,Smith Generating Facility,54,SCT1,NA,2002,750,676.5,42409,NA,0.266,0.0012,36794.675,0.0591,27.416,0.0887,618389.1,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,ARP
KY,Smith Generating Facility,54,SCT1,NA,2003,528,456.25,26988.5,NA,4.082,0.0194,26344.55,0.0653,19.68,0.0977,399587.325,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2004,626,540.25,28835,NA,0.575,0.0027,26895.375,0.0601,16.915,0.0792,444625.05,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2005,344,303.25,18241.25,NA,0.256,0.0027,16296.175,0.0599,10.05,0.0753,271567.725,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2006,417,378.25,20690.5,NA,0.169,0.0018,19137.2,0.0595,12.002,0.0754,320714.3,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2007,1707,1571,90561.25,NA,0.476,0.0012,80888.95,0.0591,49.06,0.0732,1359906.125,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2008,426,356.58,19548.01,NA,0.561,0.0109,18001.838,0.06,11.969,0.0769,299427.629,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, CAIRNOX, CAIROS, NBP"
KY,Smith Generating Facility,54,SCT1,NA,2009,935,835.7,45408.08,NA,0.237,0.0012,41351.644,0.0592,27.464,0.0759,695372.521,Pipeline Natural Gas,Residual Oil,Combustion turbine,NA,Water Injection,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
