stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
LA,Dolet Hills Power Station,51,1,NA,1995,NA,NA,NA,NA,25398,NA,5376279,NA,12978,NA,49408474,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,1996,NA,NA,NA,NA,23539,NA,4755904,NA,9650,NA,44113681,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,1997,7827,7813.25,4846519.25,NA,27721.421,1.0907,5450947.9,0.109,11459.086,0.4471,50091809.175,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,1998,7713,7700.5,4627871,NA,25526.228,1.0605,5215482.425,0.109,9987.428,0.4105,47905645.425,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,1999,6212,6201.75,3852462.25,NA,21317.971,1.097,4447511.275,0.1151,8428.293,0.4375,38440401.7,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2000,7818,7800.92,4947814.08,NA,19517.831,0.8308,5186835.145,0.1087,10868.471,0.452,47677605.316,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2001,7708,7693.29,4785766.91,NA,20032.517,0.8614,4965018.271,0.109,9860.066,0.4284,45604574.135,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2002,7735,7723.75,5013873.15,NA,16969.503,0.7497,5157219.88,0.109,10370.204,0.4345,47370460.561,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2003,7773,7754.9,5154885.28,NA,17831.484,0.6809,5635022.05,0.1087,11735.38,0.4501,51798485.644,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2004,7992,7973.93,5077946.94,NA,21665.713,0.8118,5685011.14,0.109,12183.762,0.4614,52218327.502,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2005,8056,8044.41,5224476.13,NA,23748.404,0.844,6063485.669,0.109,13109.985,0.4659,55694749.61,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2006,7735,7720.04,5074029.22,NA,20907.731,0.7985,5594655.603,0.109,10890.922,0.4173,51388372.415,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2007,6550,6518.68,4129010.65,NA,11508.629,0.5327,4551482.755,0.109,5397.998,0.2506,41806626.65,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,"Low NOx Burner Technology w/ Overfire Air (Began Apr 01, 2007)|Low NOx Burner Technology (Dry Bottom only) (Retired Mar 31, 2007)",Electrostatic Precipitator,NA,ARP
LA,Dolet Hills Power Station,51,1,NA,2008,7952,7941.9,5276720.93,NA,13981.52,0.5318,5647382.623,0.109,5270.459,0.2016,51872153.477,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS"
LA,Dolet Hills Power Station,51,1,NA,2009,7472,7453.89,4819728.43,NA,11720.507,0.6974,5265576.064,0.1089,4589.779,0.1871,48363972.052,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2010,7756,7742.8,5062145.3,NA,21231.788,0.8459,5424155.167,0.109,4717.885,0.1872,49821401.732,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2011,7945,7931.42,5110001.96,NA,20874.676,0.8157,5535635.003,0.1089,4841.038,0.1888,50845945.833,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2012,7743,7727.69,4991767.84,NA,20887.276,0.7834,5678438.025,0.109,4940.73,0.1878,52157338.15,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2013,5590,5575.34,3316221.15,NA,14612.289,0.8405,3693231.637,0.109,3167.301,0.1804,33922904.337,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,"Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction (Began May 20, 2013)",Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2014,4925,4915.6,3137356.91,NA,14176.937,0.9172,3244987.246,0.109,3039.795,0.1977,29805658.124,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction,"Baghouse (Began Oct 22, 2014)|Electrostatic Precipitator (Retired Oct 21, 2014)",NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
LA,Dolet Hills Power Station,51,1,NA,2015,7647,7637.05,4636314.72,NA,21193.802,0.9506,4766937.737,0.109,4468.801,0.202,43784653.712,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction,Baghouse,"Untreated PAC Sorbent Injection (Began Jul 01, 2015)","ARP, CSNOXOS, MATS"
LA,Dolet Hills Power Station,51,1,NA,2016,7277,7263.23,3691455.41,NA,16091.324,0.9184,3750931.255,0.109,3403.628,0.1989,34453126.835,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOXOS, MATS"
LA,Dolet Hills Power Station,51,1,NA,2017,4632,4623.64,2167932.07,NA,9957.116,0.9659,2218354.205,0.109,1987.754,0.2003,20374318.086,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
LA,Dolet Hills Power Station,51,1,NA,2018,4789,4775.18,1650596.75,NA,6788.363,0.8474,1674702.586,0.109,1919.642,0.2604,15382579.622,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air|Selective Non-catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
