stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MA,Edgar Station,1585,EJ-1,NA,1999,35,33,NA,NA,NA,NA,NA,NA,1.416,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Edgar Station,1585,EJ-1,NA,2000,18,12.75,NA,NA,NA,NA,NA,NA,0.547,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Edgar Station,1585,EJ-1,NA,2001,20,13.8,NA,NA,NA,NA,NA,NA,0.592,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Edgar Station,1585,EJ-2,NA,1999,51,46.75,NA,NA,NA,NA,NA,NA,2.698,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Edgar Station,1585,EJ-2,NA,2000,14,9.5,NA,NA,NA,NA,NA,NA,0.548,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Edgar Station,1585,EJ-2,NA,2001,6,3.29,NA,NA,NA,NA,NA,NA,0.19,NA,NA,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Framingham Station,1586,FJ-1,NA,1999,78,71.25,NA,NA,NA,NA,NA,NA,3.474,NA,NA,NA,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Framingham Station,1586,FJ-1,NA,2000,32,27.75,NA,NA,NA,NA,NA,NA,1.353,NA,NA,NA,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Framingham Station,1586,FJ-1,NA,2001,1,1,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Framingham Station,1586,FJ-1,NA,2002,41,39.25,NA,NA,0,0,0,0,2.265,0.621,7292.8,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
MA,Framingham Station,1586,FJ-1,NA,2003,42,28.02,NA,NA,0,0,0,0,1.435,0.5509,5206.2,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
MA,Framingham Station,1586,FJ-1,NA,2004,41,20.83,721.68,NA,0,0,0,0,1.115,0.5757,3870.3,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
MA,Framingham Station,1586,FJ-1,NA,2005,37,28.76,1323.48,NA,0,0,0,0,1.569,0.5872,5343.4,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
MA,Framingham Station,1586,FJ-1,NA,2006,40,28.36,254.71,NA,0,0,0,0,1.547,0.5871,5269.5,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
MA,Framingham Station,1586,FJ-1,NA,2007,27,14.12,47.88,NA,0,0,0,0,0.77,0.5874,2623.6,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NBP
MA,Framingham Station,1586,FJ-1,NA,2008,12,6.73,NA,NA,0,0,0,0,0.369,0.5903,1250.5,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,"CAIROS, NBP"
MA,Framingham Station,1586,FJ-1,NA,2009,16,9.28,70.86,NA,NA,NA,NA,NA,0.509,0.5909,1724.1,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
MA,Framingham Station,1586,FJ-1,NA,2010,28,20.01,93.1,NA,NA,NA,NA,NA,1.099,0.5911,3717.7,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
MA,Framingham Station,1586,FJ-1,NA,2011,30,22.84,106.2,NA,NA,NA,NA,NA,1.254,0.591,4243.5,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
MA,Framingham Station,1586,FJ-1,NA,2012,13,7.4,30.5,NA,NA,NA,NA,NA,0.406,0.5911,1374.9,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
MA,Framingham Station,1586,FJ-1,NA,2013,16,12.67,69.11,NA,NA,NA,NA,NA,0.67,0.5695,2354,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
MA,Framingham Station,1586,FJ-1,NA,2014,24,11.81,53.8,NA,NA,NA,NA,NA,0.614,0.5607,2194.6,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,CAIROS
