stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MD,Brandon Shores,602,1,NA,1995,NA,NA,NA,NA,24608,NA,4698185,NA,10985,NA,45732683,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Cyclone,NA,ARP
MD,Brandon Shores,602,1,NA,1996,NA,NA,NA,NA,26836.7,NA,5190556,NA,11493,NA,50590494,Coal,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology w/ Overfire Air (Began Jun 01, 1996)",Cyclone,NA,ARP
MD,Brandon Shores,602,1,NA,1997,7299,7285,4266960.25,NA,23879.136,1.0346,4654172.825,0.103,10556.812,0.4582,45362305.1,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Cyclone,NA,ARP
MD,Brandon Shores,602,1,NA,1998,8503,8495.25,5013880.75,NA,28691.633,1.0857,5381417.7,0.103,12588.868,0.4782,52450450.05,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Cyclone,NA,ARP
MD,Brandon Shores,602,1,NA,1999,7930,7919.5,4860935,NA,27365.065,1.0892,5068281.025,0.103,10475.547,0.4176,49398416.85,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Cyclone,NA,"ARP, OTC"
MD,Brandon Shores,602,1,NA,2000,8462,8452.5,5153187.75,NA,28464.962,1.0656,5418566.75,0.103,10810.564,0.406,52812533.625,Coal,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction (Began May 01, 2000)",Cyclone,NA,"ARP, OTC"
MD,Brandon Shores,602,1,NA,2001,7034,7025.25,4024478.25,NA,20235.319,1.0309,3980547.7,0.103,5630.609,0.3042,38796729.975,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, OTC"
MD,Brandon Shores,602,1,NA,2002,8100,8084.5,3926679,NA,20475.996,1.0571,3925409.25,0.103,6039.924,0.344,38259355.25,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, OTC"
MD,Brandon Shores,602,1,NA,2003,7608,7594.5,4223721.5,NA,18152.5,1.0004,3677040.45,0.103,5418.991,0.3035,35838631.35,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, NBP"
MD,Brandon Shores,602,1,NA,2004,8503,8494.25,4686840.25,NA,21144.245,1.0829,3995922.775,0.103,6215.441,0.328,38946569.8,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, NBP"
MD,Brandon Shores,602,1,NA,2005,7240,7226.5,4006364.75,NA,18876.476,1.0473,3639544.15,0.103,4346.725,0.2565,35473163.95,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, NBP"
MD,Brandon Shores,602,1,NA,2006,8375,8363.75,4713190,NA,20498.008,1.0255,4090213.4,0.103,5867.138,0.2936,39865595.85,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, NBP"
MD,Brandon Shores,602,1,NA,2007,6524,6514.75,3846166.5,NA,17323.279,1.0638,3288705.9,0.103,4120.101,0.2571,32053636.425,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, NBP"
MD,Brandon Shores,602,1,NA,2008,8253,8240.52,4570180.22,NA,21194.394,1.0554,4082437.297,0.103,5686.402,0.2907,39789804.342,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Cyclone,NA,"ARP, CAIRNOX, CAIROS, NBP"
MD,Brandon Shores,602,1,NA,2009,5946,5938.2,3027964.66,NA,12527.228,0.9031,2875976.98,0.103,1051.687,0.0796,28030942.493,Coal,NA,Dry bottom wall-fired boiler,"Wet Lime FGD (Began Nov 21, 2009)",Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,"Cyclone|Baghouse (Began Nov 21, 2009)",NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
