stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
ME,Graham Station,1470,5,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARP
ME,Graham Station,1470,5,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARP
ME,Mason Steam,1496,3,NA,1997,38,35.75,3584.75,NA,0.908,0.3565,443.9,0.0822,0.65,0.2231,5342.15,Residual Oil,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began Nov 11, 1997)",Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,1998,196,181.25,5936,NA,4.395,0.3031,2207.603,0.076,3.538,0.224,29036.45,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,1999,503,456.25,4222.75,NA,9.26,0.3011,4706.795,0.0769,6.988,0.2126,61045.05,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,2000,243,226.75,1833.5,NA,4.032,0.2955,2112.796,0.0773,3.035,0.2091,27285.85,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,2001,22,20.5,333,NA,2.289,1.054,335.899,0.0772,0.568,0.2335,4342.65,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,2002,118,103.75,1033.75,NA,3.228,0.4463,1136.002,0.0772,1.73,0.2149,14693.85,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,2003,19,15,174.5,NA,0.426,0.3432,195.299,0.0801,0.335,0.27,2480.45,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,3,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,1997,36,34.25,4101,NA,NA,NA,391.502,0.0776,0.549,0.2019,5052.7,Residual Oil,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began Nov 11, 1997)",Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,1998,187,167,6597.75,NA,4.163,0.298,2105.996,0.0763,3.07,0.2034,27694.125,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,1999,438,393.5,3389,NA,7.342,0.2995,3695.9,0.0753,5.127,0.1943,49220.275,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,2000,235,220.5,1786.25,NA,3.821,0.2954,2002.397,0.0774,2.618,0.192,25863.475,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,2001,21,20,315.5,NA,2.162,1.0544,317.1,0.0772,0.478,0.211,4102.125,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,2002,105,92.5,983,NA,3.034,0.3975,1070.602,0.0775,1.491,0.1983,13839.275,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,2003,19,15.75,178.5,NA,0.423,0.343,193.801,0.0804,0.292,0.237,2463.925,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,4,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,1997,35,32.75,3437.75,NA,NA,NA,363.799,0.0776,0.5,0.191,4694.55,Residual Oil,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began Nov 26, 1997)",Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,1998,168,148.5,2719.75,NA,3.881,0.3118,2020.099,0.0762,2.993,0.1989,26508.65,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,1999,363,321.5,3164.5,NA,6.648,0.3046,3258.402,0.0751,4.606,0.189,43607.1,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,2000,242,221.75,2463.25,NA,4.896,0.2931,2565.706,0.0773,3.455,0.1927,33142.05,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,2001,20,18.75,336.75,NA,2.158,1.0546,316.701,0.077,0.502,0.2125,4093.95,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,2002,78,69.5,1175.75,NA,2.837,0.4706,988.102,0.077,1.422,0.1983,12781.55,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,2003,17,14.75,249.5,NA,0.457,0.3428,209.301,0.0792,0.342,0.257,2661.15,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,Mason Steam,1496,5,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,1995,NA,NA,NA,NA,265,NA,34065,NA,93,NA,415946,Residual Oil,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began May 31, 1995)",Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,1996,NA,NA,NA,NA,418.9,NA,37974,NA,91,NA,473297,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,1997,2658,2550,68094.25,NA,1162.568,2.1933,87097.625,0.081,207.564,0.3537,1077158.575,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,1998,3568,3436.5,108610.75,NA,1462.804,2.023,102972.675,0.0795,237.478,0.3337,1299683.325,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,1999,5140,5073.5,167379,NA,2085.57,1.9557,165512.025,0.0808,382.636,0.3588,2048559.4,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2000,3350,3257.3,78231.68,NA,893.67,1.9471,79010.876,0.0858,177.08,0.323,925156.26,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2001,2950,2899.06,94987.04,NA,938.666,1.7262,94249.217,0.0868,204.737,0.3317,1083399.407,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2002,909,871.25,11232.2,NA,118.857,1.6721,12525.104,0.0865,24.741,0.2546,144804.913,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2003,1113,1055.22,30588.56,NA,169.265,1.037,30326.08,0.0869,66.138,0.3103,348466.304,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2004,570,540.19,15526.61,NA,127.947,1.5592,15562.091,0.0869,32.345,0.2985,179043.312,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2005,1175,1098.47,24695.91,NA,196.685,1.2737,26321.402,0.0868,42.654,0.239,303500.511,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2006,587,551.55,3291.64,NA,38.483,1.2311,5428.601,0.0846,7.025,0.1529,64275.491,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2007,1030,977.89,10019.72,NA,96.199,1.3636,13400.427,0.0855,18.079,0.168,156729.194,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2008,1044,960.28,7884.27,NA,107.547,1.5788,11848.991,0.0863,16.014,0.1744,137050.437,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2009,810,763.84,3952.6,NA,31.366,0.6979,7981.348,0.1107,9.853,0.1577,91350.614,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,1,NA,2010,1406,1331.3,15689.13,NA,61.929,0.7145,15308.39,0.1173,21.625,0.1987,174061.265,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,1,NA,2011,1124,1054.19,30408.53,NA,58.246,0.7413,13803.842,0.1148,17.238,0.1898,157203.106,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,1,NA,2012,1386,1318.94,9107.91,NA,51.9,0.7442,12253.437,0.1042,15.626,0.1867,139470.634,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,1,NA,2013,526,492.18,4713.47,NA,27.6,0.7287,6654.283,0.1089,8.832,0.2078,75464.96,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,1,NA,2014,83,72.62,671.93,NA,3.268,0.6137,928.288,0.135,1.324,0.1711,10763.156,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,1,NA,2015,892,851.19,17301.67,NA,76.807,0.6909,18821.053,0.1155,28.567,0.2131,220641.921,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, MATS, RGGI"
ME,William F Wyman,1507,1,NA,2016,579,548.87,1628.76,NA,14.432,0.6281,3874.22,0.0961,4.208,0.1343,45173.633,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, MATS, RGGI"
ME,William F Wyman,1507,1,NA,2017,471,455.99,3752.79,NA,21.792,0.7294,5146.959,0.1109,6.714,0.1597,59749.792,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, MATS, RGGI"
ME,William F Wyman,1507,1,NA,2018,302,291.56,5304.72,NA,18.302,0.5687,5619.899,0.1062,8.476,0.2445,64377.875,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, MATS, RGGI"
ME,William F Wyman,1507,2,NA,1995,NA,NA,NA,NA,292,NA,42270,NA,90,NA,424826,Residual Oil,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began May 31, 1995)",Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,1996,NA,NA,NA,NA,443.8,NA,39483,NA,97,NA,488284,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,1997,3750,3652,71627.75,NA,1295.94,2.2589,94762.925,0.0808,231.761,0.3964,1173162.025,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,1998,3645,3528.25,113551.75,NA,1708.77,2.0455,121957.05,0.0809,295.513,0.3632,1508669.5,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,1999,5414,5343,179387.5,NA,2113.6,1.9251,172367.075,0.0809,397.123,0.36,2131938.4,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2000,3353,3260.81,80731.26,NA,876.164,1.9266,77694.228,0.0849,166.304,0.3181,913559.354,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2001,2236,2194.15,82088.41,NA,799.431,1.7115,80233.212,0.0868,172.543,0.3501,922792.514,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2002,479,448.84,10328.91,NA,88.585,1.4866,9835.513,0.0866,19.663,0.2811,113670.591,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2003,1394,1329.2,33625.83,NA,222.165,1.3287,34030.419,0.087,70.178,0.2887,390288.814,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2004,627,590.3,16841.47,NA,136.289,1.5624,16685.317,0.0869,32.792,0.2831,191713.266,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2005,1312,1233.05,20682.45,NA,171.505,1.3267,21390.592,0.0872,31.345,0.2159,246190.646,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2006,304,289.76,2881.3,NA,22.175,1.0154,3390.593,0.0842,4.76,0.1873,40218.703,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2007,467,421.5,6903.33,NA,54.977,1.4564,6993.312,0.0856,9.773,0.1783,81691.495,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2008,964,907.84,8155.86,NA,85.02,1.4814,9685.514,0.0862,13.854,0.2016,112013.101,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,ARP
ME,William F Wyman,1507,2,NA,2009,664,612.36,5003.77,NA,26.458,0.7099,6627.453,0.1128,8.859,0.1834,75731.44,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,2,NA,2010,1537,1436.54,16771.37,NA,66.669,0.7153,16337.59,0.1196,22.733,0.2026,185685.915,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,2,NA,2011,632,582.87,15236.61,NA,34.68,0.7406,8219.557,0.1258,11.813,0.2243,93636.114,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
ME,William F Wyman,1507,2,NA,2012,911,859.28,11487.03,NA,37.281,0.7447,8794.954,0.115,13.548,0.223,100127.791,Residual Oil,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Cyclone,NA,"ARP, RGGI"
