stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MI,B C Cobb,1695,1,NA,2000,242,236.25,NA,69009,0.03,0.001,6010.625,0.0592,4.441,0.0926,101141.575,Pipeline Natural Gas,NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Separated OFA (Began Apr 01, 2000)",NA,NA,ARP
MI,B C Cobb,1695,1,NA,2001,664,642.25,NA,191014,0.084,0.001,16573.225,0.0592,9.56,0.0811,278874.375,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,ARP
MI,B C Cobb,1695,1,NA,2002,515,503.5,NA,131225.5,0.056,0.001,11021.6,0.0593,6.69,0.0714,185466.7,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,ARP
MI,B C Cobb,1695,1,NA,2003,136,131.88,NA,32485.75,0.014,0.001,2803.909,0.0587,1.521,0.0535,47189.844,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,1,NA,2004,12,9.57,NA,4.52,0,0.001,17.53,0.059,0.011,0.072,295.275,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,1,NA,2005,713,698.17,NA,162529.47,0.073,0.001,14369.475,0.0593,8.035,0.0638,241779.298,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,1,NA,2006,144,138.64,NA,38186.69,0.017,0.001,3305.653,0.0587,1.766,0.0563,55626.046,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,1,NA,2007,134,124.06,NA,25135.69,0.012,0.001,2285.921,0.0584,1.151,0.0463,38466.098,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,1,NA,2008,13,11.56,NA,1004.12,0.001,0.001,107.705,0.0594,0.048,0.0358,1813.269,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, CAIRNOX, CAIROS, NBP"
MI,B C Cobb,1695,1,NA,2009,2,1.38,NA,24.76,0,0.001,3.324,0.06,0.001,0.0205,55.222,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MI,B C Cobb,1695,2,NA,1999,689,677.5,24369.25,NA,0.1,0.001,19793.5,0.0591,11.331,0.0677,333061.275,Pipeline Natural Gas,NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Separated OFA (Began Apr 01, 1999)",NA,NA,ARP
MI,B C Cobb,1695,2,NA,2000,835,810.25,2538.25,176844.5,0.09,0.001,17823.775,0.0591,8.585,0.0525,299926.55,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,ARP
MI,B C Cobb,1695,2,NA,2001,626,608,NA,182571.25,0.077,0.001,15175.75,0.0591,9.749,0.0966,255343.6,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,ARP
MI,B C Cobb,1695,2,NA,2002,486,478,NA,114449.25,0.051,0.001,10076.6,0.0591,6.26,0.0762,169558.7,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,ARP
MI,B C Cobb,1695,2,NA,2003,134,131.9,NA,31315.64,0.014,0.001,2848.658,0.0593,1.369,0.0679,47934.998,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,2,NA,2004,7,6.02,NA,0,0,0.001,13.6,0.0608,0.003,0.0181,227.16,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,2,NA,2005,705,692.02,NA,153911.31,0.07,0.001,13781.724,0.0593,7.279,0.0584,231898.936,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,2,NA,2006,204,199.95,NA,55623.93,0.024,0.001,4850.696,0.0581,2.483,0.0567,81612.846,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,2,NA,2007,135,125.4,NA,26386.5,0.012,9e-4,2401.793,0.0564,1.085,0.0445,40409.273,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, NBP"
MI,B C Cobb,1695,2,NA,2008,14,12.9,NA,966.04,0.001,0.001,112.34,0.0592,0.059,0.0417,1892.214,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, CAIRNOX, CAIROS, NBP"
MI,B C Cobb,1695,2,NA,2009,2,1.24,NA,7.44,0,0.001,4.3,0.059,0.002,0.055,72.356,Pipeline Natural Gas,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Separated OFA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
