stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MN,Fox Lake,1888,3,NA,1995,NA,NA,NA,NA,600,NA,244391,NA,551,NA,3804876,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,1996,NA,NA,NA,NA,791.1,NA,187948,NA,436,NA,2763652,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,1997,5277,5276,201044.5,NA,32.881,0.0343,121660.15,0.0596,188.458,0.173,2033733.375,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,1998,2574,2528.25,113320.5,NA,3.839,0.0054,76335.125,0.0591,150.65,0.2032,1285394.85,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,1999,2473,2372.25,86470.5,NA,6.03,0.0138,59996.1,0.0593,115.684,0.2002,1008782.875,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2000,1652,1571,58941.75,NA,0.852,0.0041,43978.25,0.0591,92.844,0.2232,741450.95,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2001,2234,2197.75,75636.25,NA,248.139,0.4853,64495.8,0.0678,111.661,0.2267,937721.575,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2002,2595,2577,94380,NA,22.335,0.0302,64393.825,0.0596,111.858,0.1921,1071577.8,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2003,3824,3797.5,140427.75,NA,196.878,0.2065,114436.25,0.0631,194.348,0.1965,1802121.15,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2004,1592,1569.75,51569.75,NA,302.33,0.7952,51554.225,0.0751,76.994,0.2051,669677.55,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MN,Fox Lake,1888,3,NA,2005,2169,2090.25,66693.5,NA,392.412,0.7414,66406.625,0.0737,93.063,0.1837,869959.35,Pipeline Natural Gas,"Coal, Residual Oil",Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
