stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MO,Asbury,2076,1,NA,1995,7697,7691.5,NA,NA,8112,NA,1499884,NA,7564,NA,13925196,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,1996,6619,6604.75,NA,NA,6338.5,NA,1252248,NA,5870,NA,11502267,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,1997,7807,7803,1452053.75,NA,9236.182,1.2964,1546550.25,0.109,7197.51,1.001,14205508.65,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,1998,7309,7297.5,1303450.75,NA,8212.184,1.2779,1399964.975,0.109,6396.548,0.9746,12859011.425,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,1999,7889,7885.25,1437337.75,NA,8045.6,1.2266,1433184.725,0.109,6097.883,0.9132,13164172.525,Coal,NA,Cyclone boiler,NA,"Overfire Air (Began May 10, 1999)",Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2000,7772,7761.5,1411734.25,NA,3735.024,0.5531,1477869.925,0.109,5876.884,0.8468,13574575.35,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2001,6146,6128.14,1072996.03,NA,2216.355,0.397,1184727.896,0.1071,4768.68,0.8385,11094043.863,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2002,8029,8022.58,1329429.68,NA,4349.278,0.5895,1521283.789,0.1033,6169.076,0.8224,14787226.022,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2003,7826,7823,1426981.88,NA,4165.111,0.5564,1539589.599,0.103,5278.962,0.6982,15005746.691,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2004,7965,7954.17,1485132.85,NA,7598.696,0.9829,1584820.802,0.103,5611.444,0.7198,15446554.67,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2005,7821,7811.6,1492579.29,NA,11964.932,1.553,1573879.425,0.103,5532.284,0.7123,15339948.333,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2006,8286,8285.06,1578068.31,NA,14516.802,1.866,1604014.97,0.103,5693.852,0.7231,15633687.906,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2007,5955,5941.68,1140784.53,NA,9870.444,1.6592,1212452.074,0.103,4158.777,0.6967,11817304.22,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
MO,Asbury,2076,1,NA,2008,7576,7570.92,1416277.28,NA,10755.964,1.4713,1527496.648,0.1047,4830.208,0.6619,14615618.777,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS"
MO,Asbury,2076,1,NA,2009,8058,8047.92,1463892.53,NA,11006.486,1.7346,1569193.366,0.1049,794.331,0.1084,14961842.114,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2010,7494,7480.55,1382061.83,NA,9403.441,1.257,1548967.12,0.1049,962.489,0.1366,14768982.07,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2011,7333,7322.09,1284951.59,NA,8952.986,1.2916,1438539.567,0.105,1228.929,0.1874,13716020.188,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2012,7253,7237.76,1279415.34,NA,6261.08,0.9068,1447182.184,0.105,1254.815,0.1886,13798472.302,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2013,7736,7732.23,1413651.85,NA,7505.478,0.9426,1671059.543,0.105,2290.323,0.2888,15933028.205,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2014,6804,6790.26,1163076.97,NA,6318.333,0.9368,1398055.652,0.105,3241.418,0.4888,13330060.106,Coal,NA,Cyclone boiler,"Dry Lime FGD (Began Sep 30, 2014)",Overfire Air|Selective Catalytic Reduction,"Baghouse (Began Sep 30, 2014)|Electrostatic Precipitator (Retired Sep 13, 2014)","Untreated PAC Sorbent Injection (Began Sep 30, 2014)","ARP, CAIRNOX, CAIROS, CAIRSO2"
MO,Asbury,2076,1,NA,2015,6780,6762.38,1198043.01,NA,1134.108,0.167,1439496.349,0.1049,1246.11,0.1855,13725183.995,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
MO,Asbury,2076,1,NA,2016,6501,6483.45,1209794.55,NA,1030.599,0.154,1426460.767,0.105,1227.857,0.1814,13600908.118,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
MO,Asbury,2076,1,NA,2017,5950,5935.91,1094220.53,NA,908.536,0.1557,1253857.069,0.105,886.457,0.1541,11955117.882,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
MO,Asbury,2076,1,NA,2018,5618,5580.38,941900.74,NA,739.218,0.1544,993466.076,0.1026,791.818,0.164,9472520.103,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
MO,Asbury,2076,1,NA,2019,5560,5532.34,922788.52,NA,798.307,0.1675,990250.206,0.1049,818.615,0.173,9441756.379,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
MO,Asbury,2076,1,NA,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Cyclone boiler,Dry Lime FGD,Overfire Air|Selective Catalytic Reduction,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSNOX, CSSO2G1, MATS"
MO,Hawthorn,2079,5,NA,1995,6523,6495.75,NA,NA,5634,NA,2362439,NA,4543,NA,22863771,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,1996,8039,8020.25,NA,NA,8352.2,NA,2714631,NA,5312,NA,26457361,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,1997,7527,7509.25,2504021.25,NA,9297.169,0.7125,2641999,0.1022,4845.392,0.3675,25785861.175,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,1998,6173,6155.75,2009417.25,NA,7105.684,0.6569,2111500.375,0.1007,4050.692,0.376,20633907.35,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,1999,1036,1033.25,311842,NA,821.366,0.6018,268965.325,0.1012,486.56,0.3546,2624152.775,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Tangentially-fired,Other,NA,NA,NA,ARP
MO,Hawthorn,2079,5,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Tangentially-fired,Other,NA,NA,NA,NA
MO,Hawthorn,2079,5A,NA,2001,3242,3230.25,1575452.75,NA,3042.277,0.4107,1672731.675,0.102,964.155,0.1172,16313832.575,Coal,Pipeline Natural Gas,"Dry bottom wall-fired boiler (Started May 07, 2001)","Dry Lime FGD (Began Aug 08, 2001)","Low NOx Burner Technology w/ Overfire Air (Began Aug 08, 2001)|Selective Catalytic Reduction (Began Aug 08, 2001)","Baghouse (Began Aug 08, 2001)",NA,ARP
MO,Hawthorn,2079,5A,NA,2002,8154,8128.75,4226441.75,NA,3751.38,0.1853,4609891.35,0.102,2366.009,0.1042,44973247.825,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2003,7958,7898.25,4222740.5,NA,2642.71,0.1222,4638551.675,0.1019,2445.084,0.1069,45228308.125,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2004,8086,8065.75,4176913.5,NA,2181.106,0.1003,4677115.225,0.1022,1918.147,0.0848,45601438,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2005,7723,7698.25,3928253.25,NA,2140.863,0.1067,4258456.825,0.1022,1514.99,0.0735,41523207.9,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2006,8109,8088.25,4021870.25,NA,1895.401,0.0972,4291078.375,0.1021,1512.577,0.0725,41839588.5,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2007,7800,7767.5,3929401.75,NA,1922.197,0.0992,4226233.5,0.1018,1472.658,0.0714,41215183.025,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,ARP
MO,Hawthorn,2079,5A,NA,2008,7618,7550.19,3688990.63,NA,1724.578,0.1091,3949006.227,0.1025,1428.498,0.0761,37701462.82,Coal,Pipeline Natural Gas,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Baghouse,NA,"ARP, CAIRNOX, CAIROS"
