stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MS,Chevron Cogenerating Station,2047,5,NA,1995,NA,NA,NA,NA,2,NA,450181,NA,238,NA,7576347,NA,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,1996,NA,NA,NA,NA,2,NA,411210,NA,197,NA,6919872,NA,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,1997,8353,8326.5,593707.5,NA,2.254,0.001,446326.825,0.059,217.587,0.0581,7511637.5,NA,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,1998,7244,7237.25,506367,NA,1.885,0.001,373352.15,0.059,172.308,0.055,6282679.725,NA,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,1999,8515,8493,579455.75,NA,10.192,0.003,465923.65,0.059,202.866,0.0534,7839879.05,NA,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2000,7912,7894,557566,NA,9.45,0.003,432011.7,0.059,174.501,0.0489,7269339.8,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2001,7487,7467,527771.75,NA,8.741,0.003,399704.2,0.0591,202.967,0.0611,6723827.4,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2002,8444,8433.75,605956.5,NA,10.226,0.003,467487.575,0.059,239.054,0.0608,7866181.6,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2003,8292,8286.25,585996.75,NA,10.033,0.003,458637.875,0.059,234.162,0.0609,7717542.725,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2004,7676,7660,531581.25,NA,9.523,0.003,435358.875,0.059,230.033,0.0635,7325422.725,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2005,7649,7637,539745.75,NA,9.323,0.003,426183.125,0.059,225.794,0.0637,7171322.225,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2006,8171,8164.75,558696.75,NA,10.47,0.003,478641.375,0.059,249.868,0.0624,8054039.9,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2007,7093,7078,509181.5,NA,9.077,0.003,415977.325,0.0592,226.218,0.0659,6982718.75,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MS,Chevron Cogenerating Station,2047,5,NA,2008,8275,8262,578624.25,NA,9.374,0.003,428521.3,0.059,217.54,0.061,7210666.325,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,"ARP, CAIRNOX, CAIROS"
MS,Chevron Cogenerating Station,2047,5,NA,2009,8377,8363.5,601063,NA,10.455,0.003,477932.875,0.059,248.611,0.0625,8042221.125,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
MS,Chevron Cogenerating Station,2047,5,NA,2010,7775,7762.25,556794.5,NA,10.231,0.003,467739.975,0.059,241.231,0.062,7869997.025,Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
