stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
MT,Glendive Generating Station,2176,GT-2,NA,2003,85,58.98,1438.11,NA,0.031,0.0054,7450.194,0.6092,0.696,0.1158,12232.122,Pipeline Natural Gas,Diesel Oil,"Combustion turbine (Started Jun 01, 2003)",NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2004,453,349.51,8102.29,NA,0.254,0.0071,45147.303,0.6241,4.444,0.1253,72257.5,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2005,519,422.79,6612.47,NA,0.037,0.004,37715.881,0.609,3.06,0.1129,63197.236,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2006,391,314.82,4411.34,NA,0.141,0.0048,30824.638,0.6155,3.1,0.1204,49562.936,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2007,771,639.68,9404.99,NA,0.111,0.0023,62645.561,0.609,5.994,0.1145,102209.26,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2008,270,219.54,3522.13,NA,0.075,0.0031,2510.916,0.0626,3.194,0.139,39028.025,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2009,148,104.19,1711.78,NA,0.065,0.0066,1182.772,0.0649,1.468,0.145,17810.938,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2010,346,290.09,4851.77,NA,0.054,0.0019,3041.968,0.0604,2.862,0.106,49748.456,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2011,510,448.68,11132.87,NA,0.078,0.0019,7074.378,0.0604,4.652,0.085,117526.907,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2012,423,375.01,8826.52,NA,0.028,0.001,5627.747,0.0593,3.357,0.074,94712.713,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,NA,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2013,139,112.7,2261.37,NA,0.042,0.0034,1606.385,0.0621,1.489,0.1125,25791.861,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,"Dry Low NOx Burners (Began Jun 01, 2013)",NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2014,142,110.48,2079.81,NA,0.139,0.0117,1737.163,0.0718,2.462,0.1861,24209.222,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2015,84,69.97,1465.38,NA,0.018,0.0021,1035.712,0.0621,1.118,0.1158,16395.827,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2016,361,323.3,5916.93,NA,0.04,0.0015,4391.433,0.0605,3.33,0.0882,72520.402,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2017,114,95.5,2158.79,NA,0.022,0.0021,1474.392,0.0618,1.468,0.1119,23654.676,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2018,141,100,1823.33,NA,0.033,0.0035,1389.837,0.065,1.391,0.1326,21519.396,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2019,171,129.52,1159.15,NA,0.069,0.0052,1715.154,0.0647,1.894,0.1388,26517.464,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2020,73,53.43,765.09,NA,0.03,0.005,663.716,0.0631,0.7,0.1304,10167.688,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2021,466,415.19,10816.03,NA,0.06,0.0016,6713.178,0.0601,5,0.0928,111970.173,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2022,111,93.77,1502.15,NA,0.076,0.0078,1293.93,0.0668,1.957,0.2006,19195.878,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2023,116,99.77,1918.42,NA,0.011,0.0012,1390.035,0.0604,1.733,0.1469,22820.626,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,Glendive Generating Station,2176,GT-2,NA,2024,186,154.51,2661.38,NA,0.02,0.0014,2116.265,0.0624,3.169,0.1786,33402.011,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,ARP
MT,J E Corette,2187,2,NA,1995,NA,NA,NA,NA,6566,NA,1351655,NA,3402,NA,12555897,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,1996,NA,NA,NA,NA,4400.7,NA,1179555,NA,2661,NA,11700833,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,1997,5474,5456.5,776767.25,NA,2003.255,0.456,913228.7,0.1042,1649.983,0.3695,8777966.925,Coal,NA,Tangentially-fired,NA,"Low NOx Burner Technology w/ Closed-coupled OFA (Began Jul 01, 1997)",Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,1998,4850,4836.75,631392.5,NA,1535.923,0.4326,739694.225,0.106,957.884,0.2758,6986150.825,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,1999,7643,7635,1129703.75,NA,2698.391,0.4523,1258516.075,0.1064,1504.45,0.2521,11868863.65,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,2000,8325,8316.96,1246879.13,NA,3314.68,0.4863,1393913.735,0.1027,1622.381,0.2395,13580266.691,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,2001,7000,6988.48,1078262.3,NA,2691.438,0.4698,1161003.778,0.103,1385.261,0.2423,11315832.333,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,2002,7923,7916.96,1193251.97,NA,3135.217,0.4807,1331694.249,0.103,1702.97,0.2573,12979500.478,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,2003,8332,8327.97,1325286.72,NA,3704.617,0.4975,1518550.901,0.103,2197.263,0.2948,14800711.016,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
MT,J E Corette,2187,2,NA,2004,7962,7952.96,1252998.31,NA,3584.471,0.4824,1514121.948,0.1029,2066.665,0.2787,14759371.391,Coal,NA,Tangentially-fired,NA,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,NA,ARP
