stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2004,494,494,8539,NA,0,0,0,0,21.69,0.3192,135946.7,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,NBP
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2005,773,773,13893,NA,0,0,0,0,35.705,0.3191,223799.4,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,NBP
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2006,441,441,7204,NA,0,0,0,0,19.083,0.319,119653.6,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,NBP
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2007,605,605,10264,NA,0,0,0,0,27.024,0.3191,169413.2,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,NBP
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2008,365,365,6534,NA,0,0,0,0,11.242,0.3175,73053.2,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, NBP"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2009,21,21,321,NA,0.141,0.0481,NA,NA,0.731,0.3085,5184.8,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2010,605,605,10695,NA,3.483,0.0347,10607.1,0.0605,13.103,0.152,174660.9,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2011,377,377,6538,NA,0.106,0.0021,6202.4,0.0591,7.901,0.148,106688.6,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2012,228,228,3979,NA,0.02,9e-4,NA,NA,4.692,0.148,63390.5,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2013,31,31,610,NA,0.445,0.0973,NA,NA,0.737,0.1519,9724.8,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2014,145,145,2970,NA,9.149,0.4139,NA,NA,7.166,0.3278,43680.9,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CAIRNOX, CAIROS, CAIRSO2"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2015,157,157,2930,NA,8.934,0.3983,NA,NA,7.26,0.3269,44382.2,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CSNOX, CSNOXOS, CSSO2G1"
NC,Butler-Warner Generation Plant,1016,GT-1,CP1,2016,87,87,1456,NA,0.08,0.0124,NA,NA,3.684,0.3128,23441.7,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Water Injection,NA,NA,"CSNOX, CSNOXOS, CSSO2G1"
