stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
ND,R M Heskett,2790,12,NA,2024,362,302.54,15074.06,NA,0.064,0.001,12577.754,0.0591,117.956,1.0842,211649.802,Pipeline Natural Gas,NA,Combustion turbine,NA,Dry Low NOx Burners,NA,NA,"ARP, NSPS4T"
ND,R M Heskett,2790,B2,NA,1995,NA,NA,NA,NA,5723,NA,373012,NA,541,NA,3244761,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,1996,NA,NA,NA,NA,2065.7,NA,536272,NA,832,NA,4925784,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,1997,7278,7268.75,388034.5,NA,1765.177,0.7055,487853.075,0.1089,701.24,0.3224,4482815.85,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,1998,7796,7791.75,450312,NA,1866.451,0.6643,559118.325,0.109,831.279,0.335,5135643.575,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,1999,8186,8182.75,512692.75,NA,2208.372,0.7115,622776.1,0.109,852.965,0.3057,5720336.825,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2000,6089,6083.15,420953.06,NA,1777.731,0.7167,533021.544,0.109,720.837,0.2983,4895974.088,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2001,8286,8277.28,555738.53,NA,2625.345,0.7873,700081.798,0.109,943.29,0.2959,6430420.154,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2002,8242,8233.51,528831.6,NA,2188.613,0.6883,657286.831,0.109,918.137,0.3077,6037324.962,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2003,7986,7979.08,563888.38,NA,2649.762,0.7681,729645.134,0.109,952.694,0.2877,6701988.283,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2004,7764,7758.98,569237.58,NA,2754.212,0.8587,681929.693,0.1072,945.088,0.2994,6357488.814,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2005,7794,7777.93,552996.51,NA,2710.485,0.934,620350.081,0.1089,761.823,0.2704,5700869.456,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2006,5656,5642.18,393447.57,NA,1835.781,0.8026,493273.405,0.109,666.218,0.2983,4530846.455,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
ND,R M Heskett,2790,B2,NA,2007,7837,7827.75,541940.87,NA,2976.876,1.0138,682082.595,0.109,1183.1,0.3784,6265115.266,Coal,NA,Bubbling fluidized bed boiler,NA,NA,Electrostatic Precipitator,NA,ARP
