stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NE,Platte,59,1,NA,1995,NA,NA,NA,NA,1729,NA,539117,NA,1062,NA,5249669,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,1996,NA,NA,NA,NA,2212.7,NA,698955,NA,1257,NA,6791756,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,1997,7297,7297,540074,NA,2004.003,0.6407,638055.8,0.103,1117.512,0.3667,6218872.6,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,1998,8453,8453,589680,NA,2781.973,0.8401,678088.1,0.103,1275.764,0.3915,6609077.4,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,1999,8427,8423.5,588946.75,NA,2563.582,0.7155,730974.525,0.103,1448.085,0.4115,7124489.075,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,2000,7939,7913.25,652107.75,NA,2497.138,0.6553,781085.675,0.103,1554.561,0.4114,7612963.5,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,2001,8499,8493.75,702869,NA,2436.352,0.5973,832954.275,0.103,1484.505,0.3697,8118456.375,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,2002,7697,7691.5,615589.5,NA,2250.058,0.6148,744373.35,0.103,1317.569,0.3607,7255056.05,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,2003,8383,8375.5,703989.5,NA,2193.592,0.5318,844819.025,0.103,1432.867,0.347,8234071.8,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NE,Platte,59,1,NA,2004,8337,8326.5,704511.75,NA,2158.487,0.5247,839392.625,0.103,1286.959,0.317,8181207.2,Coal,Diesel Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
