stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NH,Lost Nation,2362,CT1,NA,1999,85,85,NA,916,NA,NA,NA,NA,7.416,0.671,22100,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
NH,Lost Nation,2362,CT1,NA,2000,59,59,524,NA,NA,NA,NA,NA,5.148,0.671,15340,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
NH,Lost Nation,2362,CT1,NA,2001,108,108,812,NA,NA,NA,NA,NA,7.441,0.53,28080,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
NH,Lost Nation,2362,CT1,NA,2002,83,83,768,NA,NA,NA,NA,NA,5.719,0.53,21580,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
NH,Lost Nation,2362,CT1,NA,2003,67,67,630,NA,NA,NA,NA,NA,4.616,0.53,17420,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2004,14,14,112,NA,NA,NA,NA,NA,0.965,0.53,3640,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2005,58,58,629,NA,NA,NA,NA,NA,4.562,0.605,15080,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2006,28,28,197,NA,NA,NA,NA,NA,2.202,0.605,7280,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2007,23,23,147,NA,NA,NA,NA,NA,1.809,0.605,5980,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2008,8,8,61,NA,NA,NA,NA,NA,0.629,0.605,2080,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2009,7,7,56,NA,NA,NA,NA,NA,0.551,0.605,1820,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2010,19,19,151,NA,NA,NA,NA,NA,1.408,0.57,4940,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2011,8,8,72,NA,NA,NA,NA,NA,0.593,0.57,2080,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2012,20,20,40,NA,NA,NA,NA,NA,1.482,0.57,5200,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2013,13,13,100,NA,NA,NA,NA,NA,0.963,0.57,3380,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
NH,Lost Nation,2362,CT1,NA,2014,9,9,73,NA,NA,NA,NA,NA,0.667,0.57,2340,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,NHNOX
