stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NJ,B L England,2378,1,NA,1995,6836,6836,NA,NA,18101,NA,844776,NA,4107,NA,8136978,Coal,Residual Oil,Cyclone boiler,NA,"Selective Non-catalytic Reduction (Began Oct 01, 1995)",Electrostatic Precipitator,NA,ARP
NJ,B L England,2378,1,NA,1996,6813,6812.5,NA,NA,18567.5,NA,858536,NA,3796,NA,8600909,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
NJ,B L England,2378,1,NA,1997,6109,6099.25,682558.75,NA,15484.638,4.0449,764649.725,0.1012,3406.131,0.8863,7573153.15,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
NJ,B L England,2378,1,NA,1998,6856,6844.5,726903.25,NA,15675.93,4.0591,772258.95,0.101,3423.939,0.8818,7650117.85,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
NJ,B L England,2378,1,NA,1999,6738,6715.25,712062,NA,14323.303,3.7648,762361.45,0.1026,2152.067,0.5664,7429901.975,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, OTC"
NJ,B L England,2378,1,NA,2000,6348,6314.45,682568.47,NA,13605.636,3.6093,745440.929,0.1034,2298.245,0.627,7264984.359,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, OTC"
NJ,B L England,2378,1,NA,2001,5675,5656.69,567232.73,NA,11887.575,3.6565,651077.113,0.1032,1754.365,0.5485,6344145.272,Coal,Residual Oil,Cyclone boiler,NA,"Selective Non-catalytic Reduction|Overfire Air (Began Apr 25, 2001)",Electrostatic Precipitator,NA,"ARP, OTC"
NJ,B L England,2378,1,NA,2002,5138,5101.59,528041.78,NA,10080.154,3.2494,619090.237,0.103,1612.975,0.5235,6035228.352,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction|Overfire Air,Electrostatic Precipitator,NA,"ARP, OTC"
NJ,B L England,2378,1,NA,2003,6608,6583.63,659528.16,NA,15022.441,3.9949,761311.062,0.1029,1951.453,0.5133,7421162.741,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction|Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
NJ,B L England,2378,1,NA,2004,6892,6876.03,750673.72,NA,12092.499,3.0256,815667.313,0.1026,2199.058,0.5478,7950030.032,Coal,Residual Oil,Cyclone boiler,NA,Selective Non-catalytic Reduction|Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
