stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NM,Escalante,87,1,NA,1995,NA,NA,NA,NA,1456,NA,1298600,NA,3010,NA,17877450,Coal,Natural Gas,Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,1996,NA,NA,NA,NA,1488.3,NA,2030500,NA,3354,NA,19878604,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,1997,8614,8612.75,2010384.75,NA,1584.491,0.1426,2264189.55,0.103,4248.588,0.3851,22068133.2,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,1998,6481,6470.5,1363414.75,NA,1114.289,0.1422,1639380.175,0.103,3165.088,0.394,15978228.725,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,1999,7321,7317.25,1584412,NA,1514.524,0.1372,2261182.625,0.1016,4547.073,0.409,22271757.475,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2000,8671,8664,1808655,NA,1384.744,0.1294,2185815.75,0.103,4425.937,0.4143,21304324.375,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2001,7471,7453.75,1668686.5,NA,1297.084,0.1383,1903127.55,0.103,3588.549,0.3831,18549250.725,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2002,8108,8094.53,1768206.47,NA,1191.875,0.1378,1759793.438,0.103,3469.864,0.4019,17152014.643,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2003,8721,8714.29,1991751.69,NA,1183.669,0.1324,1828577.008,0.103,3545.341,0.3975,17822358.557,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2004,8286,8281.56,1923467.86,NA,1227.846,0.1325,1902621.244,0.103,3735.738,0.4023,18544030.422,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2005,8659,8654.65,2038353.97,NA,1293.216,0.1287,2057449.201,0.103,3797.138,0.3782,20053106.367,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2006,7124,7105.88,1604910.03,NA,969.544,0.1259,1559060.702,0.103,2865.338,0.3738,15195554.168,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2007,8651,8643.23,1959707.25,NA,1123.958,0.1163,1967640.959,0.103,3384.836,0.3517,19177783.036,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2008,8155,8141.32,1833792.9,NA,1201.552,0.1293,1926246.813,0.1046,3228.653,0.348,18442555.151,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2009,8721,8716.64,1957540.31,NA,1308.302,0.1261,2164308.835,0.105,3607.039,0.3494,20636031.499,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2010,8201,8192.65,1787165.07,NA,1211.722,0.1248,2037049.242,0.105,3111.385,0.3197,19422638.153,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2011,8654,8644.56,1759866.52,NA,1256.851,0.1307,2072636.857,0.105,3385.041,0.3409,19762012.212,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2012,6988,6984.89,1208594.4,NA,789.131,0.1177,1383242.059,0.105,2264.516,0.3428,13188845.443,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2013,8593,8589.15,1626496,NA,950.843,0.11,1798755.138,0.105,3035.854,0.3521,17150601.939,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2014,7611,7586.1,1492632.21,NA,731.766,0.0964,1567634.466,0.105,2578.751,0.3402,14946929.18,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,ARP
NM,Escalante,87,1,NA,2015,8069,8061.26,1462298.15,NA,846.876,0.1201,1457199.782,0.105,2450.28,0.3506,13893978.337,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Escalante,87,1,NA,2016,8784,8784,1402342,NA,898.53,0.1239,1453830,0.105,2436.673,0.3514,13861860.5,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Escalante,87,1,NA,2017,6997,6988.73,1186946.33,NA,728.389,0.1167,1241435.953,0.105,2124.812,0.355,11836703.513,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Escalante,87,1,NA,2018,8373,8372.4,1387314.69,NA,880.185,0.1198,1468953.554,0.105,2442.013,0.3452,14006094.545,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Escalante,87,1,NA,2019,7228,7225.98,1293714.98,NA,809.629,0.1227,1346472.309,0.105,2250.483,0.3483,12838219.66,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Escalante,87,1,NA,2020,3620,3617.45,637888.15,NA,421.464,0.1222,668993.557,0.105,984.088,0.2974,6378643.973,Coal,"Natural Gas, Other Oil",Tangentially-fired,Wet Limestone,Other,Baghouse,NA,"ARP, MATS"
NM,Four Corners Steam Elec Station,2442,1,NA,1995,NA,NA,NA,NA,2750,NA,1210242,NA,4458,NA,11882745,Coal,NA,Dry bottom wall-fired boiler,Wet Lime FGD,Low NOx Burner Technology (Dry Bottom only),Wet Scrubber,NA,ARP
NM,Four Corners Steam Elec Station,2442,1,NA,1996,NA,NA,NA,NA,3939.4,NA,1696028,NA,6322,NA,16529076,Coal,NA,Dry bottom wall-fired boiler,Wet Lime FGD,Low NOx Burner Technology (Dry Bottom only),Wet Scrubber,NA,ARP
