stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NV,Clark,2322,1,NA,1996,NA,NA,NA,NA,0,NA,0,NA,6,NA,13271,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,1997,771,771,21713,NA,0.053,9e-4,10713,0.0599,43.78,0.489,179057.4,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,1998,1611,1611,60083,NA,0.148,0.001,35353,0.0716,119.521,0.4847,492771,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,1999,1507,1507,42925,NA,0.134,0.001,28198,0.0602,114.99,0.49,469486.5,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2000,4566,4554.22,174468.48,NA,0.563,0.001,111555.636,0.0592,305.43,0.3194,1877141.821,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2001,3892,3864.4,135422.45,NA,0.416,0.001,82402.357,0.0592,153.054,0.2114,1386623.676,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2002,5468,5460.5,165699.11,NA,0.526,0.001,104210.334,0.0593,198.294,0.2135,1753458.239,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2003,3868,3838.67,113342.55,NA,0.362,0.001,71672.896,0.0593,109.719,0.1698,1206015.706,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2004,1040,1029.94,28153.46,NA,0.09,0.001,17746.415,0.0593,29.094,0.1821,298625.94,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2005,656,644.2,17302.65,NA,0.057,0.001,11279.03,0.0593,21.71,0.2148,189788.547,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
NV,Clark,2322,1,NA,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,NA,NA,NA,NA,NA
NV,Clark,2322,11A,CS11,2008,62,49.99,1222,NA,0.004,0.001,728.19,0.0593,1.344,0.3915,12257.186,Pipeline Natural Gas,NA,"Combustion turbine (Started Jul 23, 2008)",NA,Selective Catalytic Reduction,NA,NA,ARP
NV,Clark,2322,11A,CS11,2009,743,591.14,13775.55,NA,0.045,0.001,8871.407,0.0593,3.013,0.0676,149402.499,Pipeline Natural Gas,NA,Combustion turbine,NA,Selective Catalytic Reduction,NA,NA,ARP
