stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
NY,Danskammer Generating Station,2480,1,NA,1995,NA,NA,NA,NA,1,NA,50077,NA,69,NA,1307483,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NY,Danskammer Generating Station,2480,1,NA,1996,NA,NA,NA,NA,0.1,NA,4673,NA,4,NA,78890,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NY,Danskammer Generating Station,2480,1,NA,1997,667,642.75,24788.75,NA,0.08,0.001,15523.875,0.0584,14.987,0.1107,262587.025,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NY,Danskammer Generating Station,2480,1,NA,1998,1821,1754,66175.5,NA,0.609,0.003,49947.8,0.064,54.586,0.135,806611.875,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
NY,Danskammer Generating Station,2480,1,NA,1999,1767,1708.25,60866.25,NA,11.275,0.0347,48533.05,0.0604,51.102,0.1294,804584.025,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,"ARP, OTC"
NY,Danskammer Generating Station,2480,1,NA,2000,2954,2848.75,83270,NA,150.895,0.2517,80893.05,0.0654,119.785,0.1637,1233157.6,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, OTC"
NY,Danskammer Generating Station,2480,1,NA,2001,996,955,28685.25,NA,107.559,0.5424,31197.05,0.0764,48.339,0.2,408589.175,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, OTC"
NY,Danskammer Generating Station,2480,1,NA,2002,434,420.5,13065.25,NA,43.532,0.326,15241.45,0.0703,21.34,0.1654,207203.275,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, OTC"
NY,Danskammer Generating Station,2480,1,NA,2003,190,187.5,5578,NA,26.779,0.4321,7336.6,0.0712,11.027,0.1821,99083.8,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, NBP"
NY,Danskammer Generating Station,2480,1,NA,2004,144,138.25,3057,NA,19.35,0.6467,3871.575,0.0762,5.674,0.1671,48570.35,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, NBP"
NY,Danskammer Generating Station,2480,1,NA,2005,2886,2778.75,113863,NA,676.138,0.7943,131247.8,0.0807,189.242,0.21,1622866.75,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, NBP"
NY,Danskammer Generating Station,2480,1,NA,2006,274,264.25,9169,NA,56.803,0.75,11891.4,0.0802,18.581,0.2129,147152.725,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, NBP"
NY,Danskammer Generating Station,2480,1,NA,2007,668,642.62,30536.19,NA,156.363,0.6256,36525.272,0.0805,65.45,0.2605,452252.454,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, NBP"
NY,Danskammer Generating Station,2480,1,NA,2008,156,140.19,6295.19,NA,20.97,0.5452,4498.431,0.0585,7.518,0.2267,57979.121,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, NBP"
NY,Danskammer Generating Station,2480,1,NA,2009,266,243.32,13314.69,NA,84.402,0.648,17156.541,0.0678,27.088,0.2299,221334.41,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2010,131,118.14,3192.98,NA,15.261,0.6641,3946.135,0.0724,6.745,0.2004,54513.716,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2011,199,187.57,6826.72,NA,25.964,0.3607,7587.241,0.0675,12.205,0.1779,109372.833,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2012,177,165.71,4876.02,NA,0.027,7e-4,5472.055,0.0591,12.823,0.1389,92314.463,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Residual Oil,Pipeline Natural Gas,Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
NY,Danskammer Generating Station,2480,1,NA,2014,35,32.04,303.14,NA,0.016,0.001,3139.92,0.059,12.183,0.46,52968.528,"Residual Oil, Pipeline Natural Gas","Residual Oil, Pipeline Natural Gas",Tangentially-fired,NA,NA,NA,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2015,71,66.57,1441.13,NA,0.91,0.0567,6221.338,0.0596,23.676,0.4394,104623.919,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,NA,NA,"ARP, CSNOX, CSNOXOS, CSSO2G1, RGGI"
NY,Danskammer Generating Station,2480,1,NA,2016,161,150.63,3043.83,NA,7.143,0.2638,2854.957,0.0626,2.541,0.0905,44920.111,Pipeline Natural Gas,Residual Oil,Tangentially-fired,NA,NA,NA,NA,"ARP, CSNOX, CSNOXOS, CSSO2G1, RGGI"
