stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
OH,Refuse & Coal,312,001,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,001,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,001,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,001,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Refuse & Coal,312,002,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,002,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,002,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,002,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Refuse & Coal,312,003,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,003,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,003,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,003,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Refuse & Coal,312,004,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,004,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,004,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,004,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Refuse & Coal,312,005,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,005,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,005,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,005,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Refuse & Coal,312,006,NA,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,006,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,006,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,ARP
OH,Refuse & Coal,312,006,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stoker,NA,NA,NA,NA,NA
OH,Cardinal,2828,1,CS001,1995,7984,7976,NA,NA,83160,NA,3444844,NA,17374,NA,32991326,Coal,NA,Cell burner boiler,NA,NA,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,1996,7077,7069.75,NA,NA,76137.7,NA,2977221,NA,22667,NA,45328893,Coal,NA,Cell burner boiler,NA,NA,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,1997,7522,7512.5,3136624.75,NA,84874.675,5.5243,3125418.475,0.103,14121.606,0.9122,30461782.625,Coal,NA,Cell burner boiler,NA,NA,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,1998,7081,7071.5,3208289,NA,95519.936,5.9181,3284985.1,0.103,13695.517,0.8374,32017381.575,Coal,NA,Cell burner boiler,NA,"Low NOx Cell Burner (Began Nov 11, 1998)",Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,1999,8001,7994.5,3113469.25,NA,60413.352,4.3143,2857783.425,0.103,7740.492,0.5496,27853644.9,Coal,NA,Cell burner boiler,NA,"Low NOx Cell Burner|Selective Non-catalytic Reduction (Began Mar 15, 1999)",Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,2000,7916,7913.25,3265430.75,NA,69884.18,4.9234,2940233.575,0.103,8325.756,0.5675,28657228.775,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,2001,7567,7556.25,3656330.5,NA,59741.083,3.8099,3199385.525,0.103,9556.435,0.5995,31183093.225,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,2002,6169,6155,2919446.75,NA,37831.736,3.01,2531989.875,0.103,7561.202,0.5969,24679545.775,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,ARP
OH,Cardinal,2828,1,NA,2003,7559,7548.25,4027634.25,NA,52481.457,3.0957,3438783.425,0.103,9013.752,0.5296,33516398.325,Coal,NA,Cell burner boiler,NA,"Low NOx Cell Burner|Selective Non-catalytic Reduction (Retired May 27, 2003)|Selective Catalytic Reduction (Began May 28, 2003)",Electrostatic Precipitator,NA,"ARP, NBP"
OH,Cardinal,2828,1,NA,2004,8010,7997.5,4092850,NA,44293.886,2.6015,3525897.95,0.103,6510.354,0.3815,34365541.95,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
OH,Cardinal,2828,1,NA,2005,7516,7497.5,3794737.5,NA,46714.094,2.9138,3308461.775,0.103,4854.374,0.312,32246192.15,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
OH,Cardinal,2828,1,NA,2006,6957,6943.9,3597181.77,NA,37114.775,2.4738,3183478.09,0.103,4189.752,0.2869,31028035.107,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
OH,Cardinal,2828,1,NA,2007,6115,6091.25,3317925.12,NA,36778.881,2.4669,3006724.937,0.103,4958.853,0.3395,29305347.179,Coal,NA,Cell burner boiler,NA,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
OH,Cardinal,2828,1,NA,2008,6177,6152.07,3394664.88,NA,6831.886,0.4663,3100377.732,0.1048,4050.87,0.2673,29626743.285,Coal,NA,Cell burner boiler,"Wet Limestone (Began Mar 25, 2008)",Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, NBP"
OH,Cardinal,2828,1,NA,2009,6654,6644.14,3713188.22,NA,2687.579,0.1582,3451224.225,0.105,562.332,0.0379,32906487.323,Coal,NA,Cell burner boiler,Wet Limestone,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
OH,Cardinal,2828,1,NA,2010,6576,6566.55,3842548.81,NA,3806.354,0.2215,3544063.555,0.105,654.034,0.0411,33791587.284,Coal,NA,Cell burner boiler,Wet Limestone,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
OH,Cardinal,2828,1,NA,2011,4857,4851.68,2877745.97,NA,3248.813,0.2535,2645189.433,0.105,669.426,0.0558,25221081.76,Coal,NA,Cell burner boiler,Wet Limestone,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
OH,Cardinal,2828,1,NA,2012,5439,5430.53,3042018.28,NA,2710.519,0.346,2789915.04,0.105,643.288,0.0549,26601037.079,Coal,NA,Cell burner boiler,Wet Limestone,Low NOx Cell Burner|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
