stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
OK,Grand River Dam Authority,165,1,NA,1995,NA,NA,NA,NA,14020,NA,3713574,NA,9128,NA,36366478,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,1996,NA,NA,NA,NA,12352.7,NA,3343342,NA,8006,NA,32998794,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,1997,8282,8270.75,3523457.5,NA,12222.561,0.6607,3721388.625,0.1014,8136.08,0.4401,36598679.2,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,1998,7177,7161,2865343,NA,10610.085,0.6922,3049360.275,0.1019,6732.706,0.44,29770706.775,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,1999,8161,8146.5,3214060,NA,12363.14,0.7581,3389292.15,0.1007,7510.352,0.4462,33739529.275,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2000,8040,8024.2,3404663.98,NA,15516.35,0.7874,3951927.859,0.1009,8563.411,0.4335,38759395.32,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2001,8018,8003.94,3382900.89,NA,12699.875,0.7306,3517219.005,0.1019,7638.741,0.4402,34414360.227,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2002,7956,7936.83,3190976.59,NA,13428.104,0.7356,3669801.432,0.1019,8292.902,0.4545,35878643.077,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2003,8212,8205.58,3614849.66,NA,14402.572,0.7427,3947800.979,0.1026,9267.456,0.4781,38528666.243,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2004,6943,6925.24,3038799.98,NA,12423.303,0.73,3394976.2,0.1017,6375.677,0.3797,33203143.508,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2005,8148,8132.34,3518343.42,NA,14277.226,0.7104,4045848.496,0.1023,8226.847,0.4098,39451388.302,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2006,7900,7886.74,3414902.34,NA,13049.765,0.7094,3717057.904,0.1023,7979.843,0.4332,36285317.289,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2007,8325,8319.02,3602216.26,NA,13263.864,0.6944,3858579.932,0.1019,7999.435,0.418,37981655.544,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2008,8196,8176.27,3466884.09,NA,13663.904,0.7082,3800728.721,0.0997,6925.951,0.3568,38199781.423,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2009,8106,8094.24,3341520.74,NA,13443.534,0.8405,3770815.259,0.1025,6407.398,0.3455,36764188.555,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2010,7112,7087.85,2992089.34,NA,12690.527,0.739,3510496.767,0.1021,6362.587,0.3606,34231270.525,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2011,8137,8128.71,3532850.51,NA,14790.325,0.734,4103573.764,0.1027,7596.093,0.3774,40009797.874,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2012,8174,8167.18,2844101.53,NA,11871.131,0.7294,3300322.458,0.1026,6631.712,0.4106,32198574.347,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2013,7499,7470.67,2613690.74,NA,10664.605,0.7047,3015420.779,0.102,3444.051,0.2305,29458662.814,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2014,7143,7110.25,2180961.23,NA,9203.448,0.6826,2676347.238,0.1026,2338.447,0.174,25791866.421,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
OK,Grand River Dam Authority,165,1,NA,2015,7043,7025.98,2176679.58,NA,8908.73,0.7082,2560490.859,0.104,1911.394,0.149,24488335.515,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOXOS, MATS"
OK,Grand River Dam Authority,165,1,NA,2016,5885,5854.93,1817577.68,NA,8357.638,0.7493,2242150.788,0.1036,1708.32,0.151,21432741.78,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,NA,Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOXOS, MATS"
