stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
OR,Boardman,6106,1SG,NA,1995,NA,NA,NA,NA,5279,NA,1861637,NA,3841,NA,18142582,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,1996,NA,NA,NA,NA,5506.8,NA,2049975,NA,2755,NA,12214010,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,1997,3722,3706.75,1621224.75,NA,5986.233,0.6327,1836655.15,0.103,3290.683,0.3478,17901132.75,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,1998,7102,7090.25,3554316,NA,12621.894,0.6438,3968873.125,0.103,7970.571,0.3992,38683016.125,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,1999,7917,7910,3915086,NA,16577.262,0.769,4329201.825,0.103,8943.629,0.4089,42194916.925,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2000,7007,6994.82,3703869.87,NA,14374.285,0.7242,3998677.105,0.103,8201.764,0.4065,38973457.916,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2001,8195,8189.61,4663442.45,NA,17821.112,0.735,4941636.471,0.103,10768.086,0.441,48164108.074,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2002,7121,7102.31,3805251.19,NA,12262.445,0.5959,4126996.353,0.103,8400.771,0.4055,40224135.821,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2003,7936,7931.5,4532757.03,NA,13118.715,0.5402,4951428.3,0.103,10079.974,0.4147,48259549.727,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2004,6578,6565.69,3751588.4,NA,12389.534,0.6188,4025465.74,0.103,7834.155,0.3898,39234559.617,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2005,6372,6361.09,3784895.31,NA,12017.2,0.6101,3997132.977,0.103,8353.507,0.4233,38958388.813,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2006,4544,4529.93,2582569.71,NA,8703.169,0.6396,2737456.491,0.103,5917.944,0.4298,26680894.577,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2007,7787,7775.38,4618224.55,NA,14037.139,0.5939,4813294.211,0.103,10656.623,0.4485,46913215.798,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2008,7286,7274.49,4264585.25,NA,11314.559,0.5534,4231859.989,0.1044,8733.822,0.4249,40608368.388,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2009,5822,5812.9,3365683.45,NA,11056.959,0.6963,3304644.921,0.105,6560.813,0.4091,31508828.164,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2010,7611,7605.63,4351947.76,NA,15646.567,0.7576,4317329.275,0.105,8955.601,0.4267,41164519.208,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
OR,Boardman,6106,1SG,NA,2011,7027,7007.99,3529099.51,NA,13103.878,0.8034,3412749.706,0.1049,4316.757,0.2571,32539553.59,Coal,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began Jun 08, 2011)|Low NOx Burner Technology w/ Overfire Air (Retired Jun 07, 2011)",Electrostatic Precipitator,"Additives to Enhance PAC and Existing Equipment Performance (Began Jun 01, 2011)|Untreated PAC Sorbent Injection (Began Jun 01, 2011)",ARP
OR,Boardman,6106,1SG,NA,2012,5672,5651.61,2785404.35,NA,11463.08,0.8671,2745242.592,0.105,2703.764,0.2008,26175067.445,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,ARP
OR,Boardman,6106,1SG,NA,2013,7297,7289.95,3974093.82,NA,13966.956,0.8731,3969664.164,0.105,4038.011,0.2097,37849578.295,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,ARP
OR,Boardman,6106,1SG,NA,2014,6656,6646.21,3375152.84,NA,7436.222,0.4736,3360460.44,0.1049,3351.14,0.2041,32041007.058,Coal,NA,Dry bottom wall-fired boiler,"Dry Sorbent Injection (Began Jul 01, 2014)",Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,ARP
OR,Boardman,6106,1SG,NA,2015,5073,5069.7,2528798.28,NA,4570.9,0.3753,2531234.055,0.105,2490.117,0.2015,24134580.786,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2016,3995,3987.69,2009404.66,NA,3668.145,0.3776,2016241.522,0.1048,1878.407,0.1925,19224271.607,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2017,3977,3963.76,1844055.75,NA,3278.059,0.3567,1873878.021,0.1049,1838.382,0.1997,17866870.455,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2018,3287,3280.7,1674500.08,NA,2307.879,0.2865,1654021.262,0.105,1660.298,0.2043,15770602.245,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2019,5750,5742.72,2741248.63,NA,3920.597,0.2939,2782326.228,0.1049,2414.726,0.1769,26528695.805,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2020,3556,3551.71,1747090.8,NA,2576.568,0.2885,1857983.613,0.105,1707.342,0.19,17715313.534,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,"ARP, MATS"
OR,Boardman,6106,1SG,NA,2021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Dry bottom wall-fired boiler,Dry Sorbent Injection,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance|Untreated PAC Sorbent Injection,NA
OR,Coyote Springs,7350,CTG1,NA,1996,NA,NA,NA,NA,1.9,NA,365265,NA,49,NA,6146291,Pipeline Natural Gas,NA,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction,NA,NA,ARP
OR,Coyote Springs,7350,CTG1,NA,1997,3295,3281,500228.5,NA,2.694,0.0016,321232.75,0.0593,48.27,0.0221,5385498.9,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,"Water Injection (Began Jun 10, 1997)|Dry Low NOx Burners|Selective Catalytic Reduction",NA,NA,ARP
