stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
PA,Brunot Island Power Station,3096,1A,NA,2002,81,81,458,NA,0,0,0,0,8.014,1.2,13357.2,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
PA,Brunot Island Power Station,3096,1B,NA,2002,81,81,485,NA,0,0,0,0,7.548,1.2,12581.2,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
PA,Brunot Island Power Station,3096,1C,NA,2002,82,82,566,NA,0,0,0,0,7.952,1.2,13254.3,Diesel Oil,NA,Combustion turbine,NA,NA,NA,NA,OTC
PA,Brunot Island Power Station,3096,2A,NA,2002,542,521.44,12747.1,NA,0.322,0.001,63824.256,0.059,190.664,0.355,1074166.4,Pipeline Natural Gas,Natural Gas,Combined cycle,NA,"Selective Catalytic Reduction (Began Apr 01, 2002)|Water Injection",NA,NA,"ARP, OTC"
PA,Brunot Island Power Station,3096,2A,NA,2003,94,80.9,2178.2,NA,0.012,0.001,2386.455,0.0597,5.117,0.1918,40160.805,Pipeline Natural Gas,Natural Gas,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, NBP"
PA,Brunot Island Power Station,3096,2A,NA,2004,60,49.9,740.1,NA,0.006,0.001,1126.41,0.0592,0.887,0.0719,18955.08,Pipeline Natural Gas,Natural Gas,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, NBP"
PA,Brunot Island Power Station,3096,2A,NA,2005,119,108.4,3448.7,NA,0.014,0.001,2734.43,0.0592,0.623,0.0372,46016.76,Pipeline Natural Gas,Natural Gas,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, NBP"
PA,Brunot Island Power Station,3096,2A,NA,2006,95,89.85,3189.2,NA,0.055,0.001,10961.64,0.059,8.378,0.0894,184395.45,Pipeline Natural Gas,Natural Gas,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, NBP"
PA,Brunot Island Power Station,3096,2A,NA,2007,93,85.36,2729.88,NA,0.036,0.001,7194.342,0.059,7.408,0.0965,120999.65,Pipeline Natural Gas,NA,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, NBP"
PA,Brunot Island Power Station,3096,2A,NA,2008,26,23.57,687.66,NA,0.006,0.001,1286.922,0.059,0.527,0.0476,21637.26,Pipeline Natural Gas,NA,Combined cycle,NA,Selective Catalytic Reduction|Water Injection,NA,NA,"ARP, CAIRNOX, CAIROS, NBP"
