stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
PR,"AES Puerto Rico, LP",880102,1,NA,2015,4283,4281.97,1085628.92,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2018,6067,6056.38,1311752.88,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2019,7991,7985.49,1896306.77,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2020,7284,7263.65,1743934.12,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2021,8644,8639,1871901.51,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2022,7415,7399.64,1687951.84,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2023,7838,7821.2,1793496.84,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,1,NA,2024,6989,6971.36,1536843.98,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2015,2331,2319.49,572864.92,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2018,7064,7051.3,1519601.25,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2019,8437,8425.31,2047096.2,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2020,7345,7333.46,1691673.4,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2021,7529,7518.49,1790260.19,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2022,7138,7119.13,1651401.53,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2023,5694,5680.08,1194813.76,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
PR,"AES Puerto Rico, LP",880102,2,NA,2024,7645,7634.5,1753653.91,NA,NA,NA,NA,NA,NA,NA,NA,Coal,NA,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,Electrostatic Precipitator,Other (Non PAC) Sorbent Injection,MATS
