stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
RI,Manchester Street Station,3236,10,NA,1995,NA,NA,NA,NA,2,NA,68445,NA,23,NA,922855,Pipeline Natural Gas,Diesel Oil,"Combined cycle (Started Jul 15, 1995)",NA,Selective Catalytic Reduction|Steam Injection,NA,NA,ARP
RI,Manchester Street Station,3236,10,NA,1996,NA,NA,NA,NA,5.8,NA,559656,NA,138,NA,9389302,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Selective Catalytic Reduction|Steam Injection,NA,NA,ARP
RI,Manchester Street Station,3236,10,NA,1997,7888,7856.25,881040.25,NA,3.367,0.001,627256.8,0.059,148.663,0.0291,10575717.6,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Selective Catalytic Reduction|Steam Injection,NA,NA,ARP
RI,Manchester Street Station,3236,10,NA,1998,6656,6581,645385.5,NA,2.635,0.001,494013.525,0.0591,120.972,0.0335,8328659.325,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,"Dry Low NOx Burners (Began Mar 06, 1998)|Selective Catalytic Reduction|Steam Injection",NA,NA,ARP
RI,Manchester Street Station,3236,10,NA,1999,6682,6517.75,588990,NA,2.325,0.001,430078.5,0.0591,120.353,0.0418,7250113.85,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, OTC"
RI,Manchester Street Station,3236,10,NA,2000,5296,5033,414536,NA,1.596,0.001,313495.65,0.059,104.267,0.0524,5310366.8,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, OTC"
RI,Manchester Street Station,3236,10,NA,2001,5208,5012.75,475739.75,NA,1.722,0.001,341604.35,0.059,91.608,0.0407,5762573.025,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, OTC"
RI,Manchester Street Station,3236,10,NA,2002,5594,5388.5,505678.25,NA,1.834,0.001,355671.2,0.059,94.038,0.0386,5999180.65,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, OTC"
RI,Manchester Street Station,3236,10,NA,2003,1978,1870,145104.75,NA,0.585,0.001,115870.8,0.059,44.473,0.0613,1954587.5,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
RI,Manchester Street Station,3236,10,NA,2004,2529,2363.5,186767.5,NA,0.781,0.001,149441.75,0.059,57.962,0.0613,2520015.925,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
RI,Manchester Street Station,3236,10,NA,2005,3267,3089,234083.5,NA,1.37,0.0012,253828.25,0.059,79.085,0.0475,4281522.7,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
RI,Manchester Street Station,3236,10,NA,2006,3566,3315.75,252436.5,NA,0.985,0.0011,191382.825,0.059,54.127,0.0502,3228392.975,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
RI,Manchester Street Station,3236,10,NA,2007,3821,3568.25,306700,NA,1.304,0.0013,228045.2,0.0591,63.27,0.0507,3843105.4,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
RI,Manchester Street Station,3236,10,NA,2008,3941,3644.5,320332.25,NA,1.397,0.0012,236377.975,0.0592,71.472,0.0544,3980899.375,Pipeline Natural Gas,Diesel Oil,Combined cycle,NA,Dry Low NOx Burners|Selective Catalytic Reduction|Steam Injection,NA,NA,"ARP, NBP"
