stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
SC,Cross,130,1,NA,1995,NA,NA,NA,NA,3767,NA,2743551,NA,4425,NA,27460404,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,1996,NA,NA,NA,NA,4592.2,NA,3698217,NA,5866,NA,35477866,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,1997,8627,8618.69,4017040.32,NA,4771.491,0.2641,3740452.7,0.103,5846.972,0.319,36456659.156,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,1998,7570,7560,3841008.5,NA,5150.256,0.2814,3761054.525,0.103,5841.574,0.3148,36657468.975,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,1999,8452,8444,4513956,NA,5410.292,0.2554,4359773.375,0.103,6518.469,0.3042,42492913.1,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,2000,8569,8563.42,4582245.47,NA,2725.028,0.1367,4121308.602,0.103,6238.196,0.3076,40170594.518,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,2001,8679,8673.24,4552504.58,NA,3349.845,0.1757,3982228.395,0.103,6886.674,0.3521,38813120.183,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,2002,7618,7607.19,3970799.6,NA,3528.385,0.1891,3845222.81,0.103,6434.54,0.3398,37477817.96,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,ARP
SC,Cross,130,1,NA,2003,8347,8329.46,4607290.87,NA,4842.268,0.211,4829503.274,0.103,6058.559,0.2536,47071177.417,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,"Selective Catalytic Reduction (Began May 22, 2003)|Low NOx Burner Technology w/ Overfire Air",Electrostatic Precipitator,NA,"ARP, NBP"
SC,Cross,130,1,NA,2004,8243,8231.65,4556908.18,NA,4499.986,0.2019,4742711.991,0.103,3485.515,0.1529,46093375.694,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
SC,Cross,130,1,NA,2005,8478,8465.61,4808218.82,NA,4060.484,0.1786,4773462.779,0.103,1711.192,0.0758,46319232.446,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
SC,Cross,130,1,NA,2006,7968,7955.12,4494657.82,NA,2978.658,0.1402,4616654.679,0.103,1940.467,0.0879,44797640.351,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
SC,Cross,130,1,NA,2007,8493,8479.23,4808000.42,NA,2370.942,0.1061,4925781.637,0.103,2194.631,0.093,47797173.764,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, NBP"
SC,Cross,130,1,NA,2008,7220,7202.31,3881479.18,NA,1694.842,0.0836,4038645.327,0.103,1753.639,0.0892,39315942.568,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, NBP"
SC,Cross,130,1,NA,2009,8514,8503.14,4582378.82,NA,1904.136,0.0823,4590365.595,0.103,1985.693,0.089,44740445.081,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2010,6916,6889.91,3705172.54,NA,1579.322,0.0852,3661117.253,0.1029,1625.352,0.0914,35683409.709,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2011,8021,8006.52,4219075.27,NA,2179.482,0.106,4098304.969,0.1029,1660.257,0.0827,39944505.439,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2012,4863,4844.93,2385055.94,NA,1061.271,0.0855,2409282.327,0.1027,818.322,0.0699,23482340.795,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2013,7987,7980.52,3821527.35,NA,1588.292,0.0804,3844628.742,0.103,1347.507,0.0731,37472024.231,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2014,5519,5507.1,2511654.18,NA,1030.16,0.0879,2538213.668,0.1027,831.72,0.0683,24738913.929,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
SC,Cross,130,1,NA,2015,3404,3390.63,1420281.32,NA,760.345,0.1,1381091.035,0.1029,439.149,0.0657,13460931.368,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
SC,Cross,130,1,NA,2016,4576,4563.81,2053296.49,NA,1127.048,0.0954,2143060.043,0.1029,732.09,0.0697,20887539.361,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOX, CSNOXOS, CSSO2G2, MATS"
SC,Cross,130,1,NA,2017,5101,5091.47,2102118.3,NA,645.305,0.0538,2135759.445,0.103,734.538,0.0708,20816378.7,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOX, CSSO2G2, MATS, SIPNOX"
SC,Cross,130,1,NA,2018,7153,7139.06,3074797.05,NA,998.28,0.0544,3179516.739,0.103,1096.008,0.0719,30989458.652,Coal,Residual Oil,Dry bottom wall-fired boiler,Wet Limestone,Selective Catalytic Reduction|Low NOx Burner Technology w/ Overfire Air,Electrostatic Precipitator,NA,"ARP, CSNOX, CSSO2G2, MATS, SIPNOX"
