stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
SD,Pathfinder,3334,11,NA,1995,NA,NA,NA,NA,0,NA,0,NA,0,NA,51219,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,1996,NA,NA,NA,NA,0,NA,369,NA,2,NA,6207,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,1997,47,43.25,636,NA,0.003,0.001,513.525,0.0591,2.546,0.4909,8650.275,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,1998,27,22.5,122.5,NA,0.001,9e-4,111.25,0.06,0.529,0.3668,1871.5,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,1999,18,15.25,0,NA,0,3e-4,1.075,0.0226,0.003,0.292,18.925,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,2000,24,20.5,140.5,NA,0,3e-4,1.3,0.0228,0.003,0.292,21.5,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,11,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,1995,NA,NA,NA,NA,0,NA,0,NA,0,NA,50729,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,1996,NA,NA,NA,NA,0,NA,368,NA,2,NA,6185,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,1997,48,43.25,634,NA,0.003,0.001,507.825,0.0595,2.722,0.5419,8539.2,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,1998,30,24.75,120.5,NA,0.001,0.001,109.475,0.0606,0.569,0.4173,1844.05,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,1999,15,9.25,0,NA,0,2e-4,0.125,0.0076,0.001,0.356,3.7,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,2000,25,20.25,135.25,NA,0,3e-4,1.1,0.0186,0.003,0.356,19.025,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,12,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,13,NA,1995,NA,NA,NA,NA,0,NA,0,NA,0,NA,44739,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
SD,Pathfinder,3334,13,NA,1996,NA,NA,NA,NA,0,NA,385,NA,2,NA,6478,Pipeline Natural Gas,NA,Dry bottom wall-fired boiler,NA,NA,NA,NA,ARP
