stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
TN,Allen,3393,1,NA,1995,7555,7536.75,NA,NA,13144,NA,1511869,NA,11739,NA,14735567,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,1996,7939,7931.5,NA,NA,5434.3,NA,1357664,NA,8729,NA,12998320,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,1997,7163,7150.5,1555043.25,NA,6753.479,0.9015,1523313.775,0.103,8934.717,1.1675,14847074.125,Coal,NA,Cyclone boiler,NA,NA,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,1998,6490,6469.5,1391435.75,NA,5671.211,0.8379,1366070.025,0.103,7043.772,1.0174,13314520.6,Coal,NA,Cyclone boiler,NA,"Overfire Air (Began May 04, 1998)",Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,1999,6739,6732.75,1627753.5,NA,3996.601,0.8058,1010716.925,0.103,4035.245,0.8071,9851081,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,2000,8180,8174.75,2117285.5,NA,6462.29,0.755,1755234.675,0.103,6395.414,0.7462,17107593.7,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,2001,8075,8069.5,1940623.5,NA,5627.824,0.6625,1750586.15,0.103,6469.617,0.7578,17062271.025,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,2002,7102,7097.75,1690079,NA,5791.296,0.7408,1602312.525,0.103,5925.425,0.7557,15617055.55,Coal,NA,Cyclone boiler,NA,Overfire Air,Electrostatic Precipitator,NA,ARP
TN,Allen,3393,1,NA,2003,7254,7246.75,1761117,NA,6153.447,0.71,1774784.85,0.103,3583.786,0.4059,17298139.55,Coal,NA,Cyclone boiler,NA,"Overfire Air|Selective Catalytic Reduction (Began May 01, 2003)",Electrostatic Precipitator,NA,"ARP, NBP"
TN,Allen,3393,1,NA,2004,8099,8095,2019421.5,NA,7917.545,0.9175,1761396.925,0.103,3999.107,0.4604,17167618.875,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
TN,Allen,3393,1,NA,2005,7901,7894,1906966,NA,8136.432,0.9097,1826467.65,0.103,4070.713,0.4575,17801857.2,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
TN,Allen,3393,1,NA,2006,8527,8518.5,2157247.75,NA,6171.665,0.6,2110332,0.103,4959.833,0.4888,20568456.975,Coal,NA,Cyclone boiler,NA,Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
