stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
UT,Carbon,3644,1,NA,1995,NA,NA,NA,NA,2723,NA,806410,NA,1762,NA,7854703,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,1996,NA,NA,NA,NA,2709.7,NA,874323,NA,1754,NA,8521628,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,1997,8165,8143.75,598057.5,NA,2439.688,0.6237,791624.25,0.103,1472.125,0.3785,7715613.45,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,1998,7875,7854,538830.25,NA,2081.097,0.6905,609686.525,0.1028,1230.559,0.4039,5942390.7,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,1999,8200,8185,589483.25,NA,1826.406,0.6305,588337.575,0.103,1223.864,0.4223,5734310.525,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2000,7426,7408.62,509954.7,NA,1535.169,0.6234,496171.128,0.1017,1036.004,0.42,4845310.079,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2001,8493,8482.15,588190.57,NA,2087.9,0.7088,602131.5,0.103,1281.794,0.4343,5868787.83,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2002,8471,8453.35,574560.15,NA,2720.834,0.8854,628314.401,0.103,1377.087,0.4452,6123949.568,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2003,8418,8395.13,560462.69,NA,2048.466,0.6886,598344.697,0.103,1278.319,0.4311,5831761.84,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2004,6881,6836.65,426082.98,NA,2060.42,0.9079,449860.803,0.103,969.317,0.4279,4384624.615,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
UT,Carbon,3644,1,NA,2005,8144,8122.47,566387.94,NA,2089.008,0.7265,583705.947,0.103,1268.764,0.4434,5689152.244,Coal,NA,Tangentially-fired,NA,NA,Electrostatic Precipitator,NA,ARP
