stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
VA,Clinch River,3775,1,CS012,1995,NA,NA,NA,NA,6279.4,NA,1084837.7,NA,6939,NA,10552513,Coal,NA,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,1996,NA,NA,NA,NA,8780.5,NA,1604357.8,NA,9997,NA,14889613,Coal,NA,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,1997,8143,8138,1790262,NA,10651.994,1.2255,1786872.424,0.1033,12132.006,1.384,17357008.506,Coal,NA,Dry bottom vertically-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,1998,7070,7065.75,1536855,NA,8673.049,1.2299,1445219.896,0.103,9643.846,1.3606,14085966.231,Coal,NA,Dry bottom vertically-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only) (Began Oct 01, 1998)",Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,1999,8026,8006.25,1692911.25,NA,8393.297,1.1407,1498472.836,0.103,5763.582,0.7672,14605002.145,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,2000,8503,8497.5,1734548.75,NA,8263.926,1.1022,1535762.498,0.103,4938.295,0.645,14968449.718,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,2001,7664,7660,1440218,NA,7316.062,1.1175,1339680.964,0.103,4192.179,0.6212,13057306.078,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,2002,7843,7838.25,1531349,NA,8635.645,1.261,1399987.259,0.103,4296.512,0.6118,13645101.61,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
VA,Clinch River,3775,1,CS012,2003,7915,7911.75,1510034.75,NA,8181.402,1.1848,1413681.379,0.103,4069.221,0.5732,13778300.203,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
VA,Clinch River,3775,1,CS012,2004,7349,7347.25,1384885.75,NA,7672.715,1.2519,1252205.851,0.103,2984.734,0.4671,12204942.335,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
VA,Clinch River,3775,1,CS012,2005,7859,7858.5,1439789,NA,9218.845,1.4671,1281496.888,0.103,2557.858,0.3987,12490224.27,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
VA,Clinch River,3775,1,CS012,2006,6928,6927,1306752.25,NA,8139.529,1.4494,1146926.356,0.103,2544.923,0.4373,11178637.393,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
VA,Clinch River,3775,1,CS012,2007,7288,7288,1373013,NA,8708.931,1.4352,1237485.499,0.103,2569.332,0.4081,12061272.435,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
VA,Clinch River,3775,1,CS012,2008,6625,6624.34,1146282.3,NA,6483.302,1.2142,1104572.807,0.1044,2080.81,0.3691,10606402.129,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, NBP"
VA,Clinch River,3775,1,CS012,2009,3715,3708.03,460319.43,NA,2025.884,0.8669,477038.095,0.105,554.488,0.2218,4548411.416,Coal,NA,Dry bottom vertically-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only)|Selective Non-catalytic Reduction (Began Jan 05, 2009)",Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
VA,Clinch River,3775,1,CS012,2010,6983,6979.13,789806.71,NA,3421.273,0.837,845685.087,0.105,1009.386,0.2264,8063382.567,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
VA,Clinch River,3775,1,CS012,2011,2833,2827.23,321265.27,NA,1339.731,0.8497,325619.999,0.105,373.197,0.2181,3104701.42,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
VA,Clinch River,3775,1,CS012,2012,5615,5607.04,470129.14,NA,2034.733,0.9275,477646.467,0.105,453.592,0.1857,4554263.235,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
VA,Clinch River,3775,1,CS012,2013,5044,5033.64,422945.66,NA,1653.672,0.8005,428560.26,0.105,453.338,0.2072,4086188.158,Coal,NA,Dry bottom vertically-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Non-catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
