stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
VT,J C McNeil,589,1,NA,1995,NA,NA,NA,NA,2,NA,209528,NA,195,NA,2068795,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,1996,NA,NA,NA,NA,2.5,NA,232991,NA,202,NA,2259185,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,1997,4631,4557.25,168706,NA,1.411,0.0011,245482.875,0.0972,197.292,0.1555,2362201.825,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,1998,4820,4750.5,171528.5,NA,0.772,6e-4,246783.825,0.0945,219.048,0.1636,2459983.35,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,1999,6009,5950,242276.25,NA,0.177,1e-4,319975.65,0.0969,255.988,0.1546,3177516.425,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2000,8044,8022.5,340609.25,NA,8.667,0.004,404810.75,0.0904,320.241,0.1412,4387011.575,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2001,5534,5454.25,214024.5,NA,5.068,0.0034,295121,0.0977,228.511,0.1464,2881327.775,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2002,5319,5202.25,200539,NA,5.514,0.004,294459,0.0981,230.113,0.1488,2827493.9,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2003,6624,6498.5,257607.5,NA,4.466,0.0025,371715.5,0.0998,287.099,0.1544,3575531.85,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2004,6324,6188.75,246215.5,NA,8.068,0.0049,364544.5,0.0991,284.107,0.1547,3507843.275,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2005,6272,6169.75,264021,NA,9.638,0.0051,372739.275,0.1004,296.951,0.1586,3569807.875,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2006,7033,6916,295926,NA,11.944,0.0059,445564.925,0.1007,343.014,0.1567,4266214.85,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
VT,J C McNeil,589,1,NA,2007,7354,7230,316807.5,NA,5.626,0.0025,470814.5,0.1015,376.513,0.1615,4503086.025,Wood,"Diesel Oil, Pipeline Natural Gas",Other boiler,NA,Other,Cyclone|Electrostatic Precipitator,NA,ARP
