stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
WA,Fredonia Generating Station,607,CT3,NA,2001,243,213.93,11046.95,NA,0.916,0.0141,7619.801,0.0662,1.062,0.0239,112280.507,Pipeline Natural Gas,Diesel Oil,"Combustion turbine (Started Jul 08, 2001)",NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2002,520,475.75,25511.39,NA,0.517,0.0047,16351.997,0.0619,2.161,0.0218,264266.916,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2003,221,177.54,8253.7,NA,0.291,0.0078,5691.173,0.0643,0.717,0.0254,89193.033,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2004,185,156.54,6905.47,NA,0.395,0.0106,5051.749,0.0665,0.882,0.0314,75731.814,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2005,120,101.19,4470.18,NA,0.082,0.0031,3049.435,0.0615,11.235,0.4066,48793.115,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2006,329,298.11,14159.4,NA,0.265,0.0046,9680.5,0.0632,3.193,0.05,154661.281,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2007,254,214.63,10928.67,NA,0.088,0.0021,7017.676,0.0603,1.245,0.034,116104.485,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2008,154,118.33,5487.24,NA,0.308,0.0086,4266.233,0.065,0.681,0.0396,64555.515,Pipeline Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2009,1006,902.97,44949.65,NA,1.125,0.0052,27164.793,0.0604,3.455,0.0217,447776.118,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2010,639,560.57,29258.82,NA,0.51,0.0034,17268.917,0.0597,2.49,0.0233,288129.73,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2011,605,467.58,25101.37,NA,0.325,0.0025,15114.817,0.0605,2.252,0.0262,249136.162,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2012,293,226.81,11600.4,NA,0.137,0.0024,7075.09,0.0602,1.048,0.0249,117096.902,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2013,140,111.35,6144.12,NA,0.06,0.002,3686.88,0.0596,0.585,0.0273,61563.819,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2014,149,120.69,6508.68,NA,0.078,0.0024,4221.609,0.0637,0.619,0.0341,65631.834,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2015,539,443.29,23685.75,NA,0.24,0.002,13900.79,0.0593,2.149,0.0255,233223.035,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2016,1722,1510.64,80176.87,NA,0.694,0.0019,48949.944,0.0592,7.171,0.0231,823305.608,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2017,420,309.7,16491.38,NA,0.129,0.0017,10271.793,0.06,1.504,0.0318,170121.796,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2018,128,92.37,4625.3,NA,0.03,0.001,2809.456,0.0592,0.614,0.0467,47284.418,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2019,96,68.11,3393.52,NA,0.026,0.0016,2158.628,0.0592,0.377,0.0477,36261.419,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2020,454,367.68,17773.59,NA,0.168,0.002,11819.25,0.0608,1.902,0.0401,193444.006,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2021,2135,1940.72,97809.4,NA,0.691,0.0017,59124.202,0.0593,152.664,0.312,993955.457,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2022,905,746.15,37570.31,NA,0.256,0.0011,22782.824,0.0591,5.977,0.0384,383098.942,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
WA,Fredonia Generating Station,607,CT3,NA,2023,3102,2973.7,150831.75,NA,1.406,0.002,92146.767,0.0593,16.512,0.023,1546729.354,Natural Gas,Diesel Oil,Combustion turbine,NA,Water Injection|Selective Catalytic Reduction,NA,NA,ARP
