stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
WV,John E Amos,3935,1,CS012,1995,NA,NA,NA,NA,24928.5,NA,3940471.1,NA,9595,NA,37319200,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,1996,NA,NA,NA,NA,25210.6,NA,4083897.3,NA,9963,NA,38557910,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,1997,8378,8374.5,5550221.25,NA,30149.079,1.2204,5055881.908,0.103,13392.792,0.5402,49277609.826,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,1998,8284,8277,5428508.75,NA,32032.514,1.284,5110491.38,0.103,12979.055,0.5164,49809868.417,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,1999,6918,6912.75,4846215,NA,27842.128,1.2522,4555871.364,0.103,11868.258,0.5296,44404191.477,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,2000,8013,8003,5574939.25,NA,30805.274,1.2197,5183786.178,0.1039,14117.481,0.5536,50509238.185,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,2001,6397,6389.75,4223228.25,NA,23783.943,1.2518,3884077.935,0.103,10745.049,0.5609,37856458.045,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,2002,8335,8324.5,5677801.75,NA,32134.205,1.2723,5167976.043,0.103,14391.856,0.5633,50370156.37,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
WV,John E Amos,3935,1,CS012,2003,7890,7878.25,5447556.5,NA,31667.417,1.3324,4859102.809,0.103,13208.904,0.5515,47359654.256,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
WV,John E Amos,3935,1,CS012,2004,8311,8307.25,5830713,NA,33395.699,1.3239,5164148.573,0.103,12125.079,0.4673,50307412.037,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,"ARP, NBP"
WV,John E Amos,3935,1,CS012,2005,6297,6288,4746669.75,NA,26869.589,1.3085,4203613.135,0.103,4902.311,0.2435,40970908.532,Coal,NA,Dry bottom wall-fired boiler,NA,"Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction (Began Apr 10, 2005)",Electrostatic Precipitator,NA,"ARP, NBP"
WV,John E Amos,3935,1,CS012,2006,8345,8339.5,6380221,NA,34571.476,1.2944,5475051.356,0.103,8506.086,0.3148,53363065.348,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
WV,John E Amos,3935,1,CS012,2007,7218,7198.79,5331933.59,NA,27970.646,1.232,4642194.851,0.103,7047.677,0.3046,45245580.188,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, NBP"
WV,John E Amos,3935,1,CS012,2008,8506,8502.49,6363457.22,NA,34745.475,1.2544,5767320.413,0.1045,4855.279,0.1725,55325353.989,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, NBP"
WV,John E Amos,3935,1,CS012,2009,7430,7410.32,4760474.39,NA,25854.91,1.2134,4442235.341,0.105,886.355,0.0452,42355424.598,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2010,4580,4569.67,3074408.88,NA,15705.473,1.2374,2621641.248,0.105,529.868,0.0494,24996599.803,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2011,7003,6987.45,4884422.48,NA,5174.676,0.2959,4621397.453,0.1048,972.957,0.0541,44063554.497,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2012,6910,6891.93,4190015.24,NA,916.418,0.0955,3937978.368,0.105,863.81,0.0504,37547503.617,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2013,4237,4223.1,2650425.85,NA,749.915,0.0584,2472621.138,0.105,611.338,0.0632,23575701.526,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2014,7433,7423.74,5420882.79,NA,2080.249,0.085,4960231.589,0.1045,1431.647,0.0656,47537979.385,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CAIRNOX, CAIROS, CAIRSO2"
WV,John E Amos,3935,1,NA,2015,5738,5733.88,3917978.22,NA,1155.177,0.0618,3603241.198,0.103,1246.832,0.0742,35119317.119,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2016,6899,6885.11,4532089.91,NA,1207.479,0.0538,4265057.079,0.103,1390.713,0.0725,41569754.177,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2017,6840,6833.22,4323290.55,NA,1295.526,0.0601,4109311.164,0.103,1547.236,0.081,40051789.023,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2018,5712,5705.33,3162648.33,NA,601.648,0.0834,3024974.931,0.103,1136.337,0.0828,29483209.274,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2019,5432,5421.59,2961545.47,NA,666.048,0.1167,2873119.554,0.103,999.307,0.0768,28003094.307,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2020,4757,4747.78,2396404.99,NA,522.487,0.0377,2376558.72,0.103,951.019,0.0846,23163342.372,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2021,5602,5598.14,3797526.63,NA,1471.671,0.073,3713438.138,0.103,1314.536,0.0755,36193418.513,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2022,6313,6309.15,2808935.22,NA,1131.437,0.0758,2852970.397,0.103,1199.337,0.0891,27806727.027,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2023,5580,5566.45,2069367.97,NA,705.437,0.0627,2190566.585,0.103,969.412,0.0957,21350563.971,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
WV,John E Amos,3935,1,NA,2024,6451,6445.8,2488364.1,NA,635.34,0.0497,2483472.284,0.103,1084.131,0.0876,24205398.687,Coal,NA,Dry bottom wall-fired boiler,Wet Limestone,Low NOx Burner Technology (Dry Bottom only)|Selective Catalytic Reduction,Electrostatic Precipitator,NA,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
WV,John E Amos,3935,2,CS012,1995,NA,NA,NA,NA,29174.5,NA,4611630.9,NA,11132,NA,43677177,Coal,NA,Dry bottom wall-fired boiler,NA,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,NA,ARP
