stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
WY,Dave Johnston,4158,BW41,NA,1995,NA,NA,NA,NA,5497,NA,1143255,NA,2532,NA,11045605,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,1996,NA,NA,NA,NA,5421.4,NA,1179695,NA,2243,NA,11510513,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,1997,7618,7598.5,851935.25,NA,5387.224,1.0101,1081429.825,0.103,2125.701,0.3979,10540249.675,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,1998,8528,8522.75,939728.75,NA,5869.937,1.0289,1185027.6,0.103,2267.219,0.3905,11549948.175,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,1999,8177,8169.5,893288.25,NA,5349.55,0.9787,1113610.625,0.103,2266.973,0.4152,10853919.45,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2000,8357,8341.78,915159.67,NA,3724.409,0.7494,1012428.67,0.1025,2153.422,0.4311,9875669.542,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2001,8574,8567.79,932820.74,NA,3732.681,0.7247,1053850.387,0.103,2259.654,0.4387,10271468.609,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2002,8504,8495.96,886650.51,NA,3851.296,0.7807,1011561.692,0.103,2341.398,0.4737,9859291.496,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2003,7937,7919.64,802965.33,NA,3416.012,0.7774,895102.774,0.103,1993.66,0.4523,8724168.297,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2004,8422,8414.34,887155.11,NA,3071.044,0.6365,982362.956,0.103,2111.422,0.4379,9574719.36,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2005,8463,8458.51,913725.78,NA,3287.734,0.6661,1012525.834,0.103,2245.446,0.4536,9868691.278,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2006,8553,8548.45,899310.42,NA,3895.134,0.7519,1058946.954,0.103,2428.1,0.4683,10321091.481,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2007,8480,8470.81,876158.42,NA,3831.598,0.7562,1035932.151,0.103,2273.715,0.4467,10096722.624,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2008,7806,7792.9,790372.23,NA,3443.043,0.7679,928374.015,0.1044,1983.347,0.4421,8908501.74,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2009,8686,8684.53,891765.78,NA,3681.031,0.7633,1008347.258,0.1049,1937.828,0.401,9614296.895,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2010,8588,8581.08,739058.04,NA,3034.792,0.8026,792290.598,0.105,1439.08,0.3774,7554286.611,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2011,8614,8607.07,750740.14,NA,3084.758,0.7915,813056.879,0.1049,1513.296,0.3864,7752271.055,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2012,8340,8332.96,744880.28,NA,2944.457,0.752,817262.972,0.105,1602.077,0.408,7792342.916,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2013,8639,8630.68,781235.68,NA,2980.583,0.7239,860430.905,0.105,1571.423,0.381,8203964.66,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2014,8594,8580.45,778026.09,NA,2631.637,0.6563,834126.333,0.1049,1552.434,0.3862,7953156.231,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW41,NA,2015,8648,8643.03,813898.21,NA,3149.887,0.722,912696.485,0.105,1707.185,0.3916,8702317.792,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,"Halogenated PAC Sorbent Injection (Began Feb 20, 2015)","ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2016,7734,7697.48,721113.01,NA,2837.574,0.7202,807557.449,0.1049,1499.479,0.382,7699833.95,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2017,8350,8334.67,743728.64,NA,2924.696,0.7096,856947.941,0.105,1477.222,0.3591,8170765.035,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2018,6645,6627.42,586791.57,NA,1972.791,0.6306,646552.38,0.105,1116.319,0.3566,6164690.175,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2019,8457,8429.64,739542.29,NA,2407.328,0.6111,816192.57,0.105,1444.279,0.3674,7782165.044,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2020,8484,8463.37,684152.09,NA,2358.339,0.6395,764033.993,0.105,1236.999,0.3348,7284854.746,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2021,6614,6598.52,518455.02,NA,1969.865,0.6981,583225.252,0.105,920.457,0.3206,5560874.382,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2022,8314,8296.89,649792.93,NA,2513.246,0.7232,722970.415,0.105,1155.385,0.3282,6893282.536,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2023,8217,8207.86,516647.01,NA,1905.488,0.6852,577404.293,0.105,830.78,0.2943,5505401.858,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW41,NA,2024,8550,8538.99,555823.13,NA,2103.992,0.715,610201.509,0.105,994.579,0.3362,5818155.921,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, MATS"
WY,Dave Johnston,4158,BW42,NA,1995,NA,NA,NA,NA,5581,NA,1146605,NA,2768,NA,10669008,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,1996,NA,NA,NA,NA,5607.1,NA,1151940,NA,2824,NA,11402892,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,1997,8728,8725,938361,NA,5941.495,1.0623,1144116.125,0.103,2345.333,0.4199,11151245.775,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,1998,8515,8507.75,896275.5,NA,5567.986,1.0808,1054172.375,0.103,2084.387,0.4042,10274547.7,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,1999,8461,8449.5,904159,NA,5568.208,0.9807,1161937.075,0.103,2300.982,0.4044,11324966.575,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2000,7994,7973.5,864267.32,NA,3693.226,0.7493,996634.225,0.1022,2080.582,0.4214,9725423.755,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2001,8481,8466.55,915004.02,NA,3395.338,0.7248,963349.849,0.103,2025.349,0.4292,9389437.526,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2002,8662,8654.93,917959.07,NA,4159.846,0.823,1031357.848,0.103,2298.038,0.455,10052221.716,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2003,8667,8660.67,896629.64,NA,3924.415,0.7813,1024858.762,0.103,2191.427,0.4376,9988891.534,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2004,8410,8396.72,880329.16,NA,3001.544,0.6307,968680.009,0.103,2128.004,0.4477,9441333.666,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2005,8670,8663.73,908040.75,NA,3395.383,0.6726,1033645.217,0.103,2289.592,0.4532,10074548.365,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
WY,Dave Johnston,4158,BW42,NA,2006,8760,8760,886802,NA,3937.787,0.7537,1072736,0.103,2404.77,0.46,10455516,Coal,NA,Dry bottom wall-fired boiler,NA,NA,Electrostatic Precipitator,NA,ARP
